author,seed_doi,seed_title,seed_short_title,n_seed_dois_cited_by_author,n_citing_works_by_author
Anna Rogers,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,1,2
Anthony DeFusco,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
Anton Bogs,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,2
Antonin Bergeaud,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Arjun Kharel,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",1,2
Ashish Shenoy,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Ashrita Saran,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Axel Ockenfels,10.1257/pandp.20201017,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,1,2
Bao-Min Gan,10.1111/conl.13077,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,1,2
Benjamin Fabian,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Benjamin J. Keys,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
Bernd Beber,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",1,2
Bettina Rockenbach,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Brian M. Lucey,10.3386/w31137,Biodiversity Risk,Biodiversity Risk,1,2
C. Austin Davis,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Caroline Ratcliffe,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
Carolyn Nekesa,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",1,2
Cass R. Sunstein,10.3386/w30740,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",1,2
Chad P. Bown,10.3386/w26775,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,1,2
Chad Syverson,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Chenxin Ding,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,2
Chiara Colesanti Senni,10.3386/w31137,Biodiversity Risk,Biodiversity Risk,1,2
Chia‐Hsuan Hsu,10.1111/conl.13077,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,1,2
Chih-Hsing Liao,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Christodoulos Louca,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Corinne Low,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,1,2
Cynthia Kinnan,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Daifu Yang,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,2
Daniel Rock,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
David Bishai,10.3386/w26775,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,1,2
David Lagakos,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
David M. Silverman,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
David Phillips,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
David Yokum,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Denny John,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Derek Foster,10.1257/pandp.20201017,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,1,2
Dillon Bowen,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Divyangana Rakesh,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
Dongmei Mu,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,2
Douglas Gollin,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Eduard Talamàs,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Edward Miguel,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Elena Kalotychou,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Ella Beveridge,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Elle Tibbitts,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
Eric Ochieng,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",1,2
Erica R.H. Fuchs,10.1257/pandp.20201017,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,1,2
Erwin Bulte,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Farah Said,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Farrah Jasmine Dingal,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Long term cost-effectiveness of resilient foods for global catastrophes compared…,1,2
Filippo Bertani,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Francisco Buera,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Friederike Stock,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
Gabriel Reyes,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
Gauri Kartini Shastry,10.1257/pandp.20201017,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,1,2
Gilbert Cette,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Greg J. Duncan,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
Guangyu Cao,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,2
Guido Cozzi,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Hanming Fang,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Harrison Mitchell,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Harry Pickard,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Heather Barry Kappes,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Hengchen Dai,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Henrique S. Basso,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Hirokazu Yoshikawa,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
Hui Mao,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Hui Sun,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,2
Huihong Chang,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Huong Ha,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Ilana Brody,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Ishita Ghai,10.3386/w30835,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,Water Treatment And Child Mortality,1,2
Javier Mayoral Sánchez,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Jianhao Lin,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,2
Jianxian Wu,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,2
Jiasong Xie,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,2
Jim Leitzel,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,Information Avoidance and Moral Behavior,1,2
Johannes Stroebel,10.3386/w31137,Biodiversity Risk,Biodiversity Risk,1,2
John Eric Humphries,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
John Eyers,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
João Gama,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Jun Liu,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Jörg Peters,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Kaizhao Guo,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Karim Naguib,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Katharina Büsch,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
Katharina de Cruppe,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Katherine Dai,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",1,2
Katherine Magnuson,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
Kazi Iqbal,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Khánh Hoàng,10.3386/w31137,Biodiversity Risk,Biodiversity Risk,1,2
Kimberly G. Noble,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
King King Li,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Kris‐Stella Trump,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Kun Duan,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Lelys Dinarte,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Leon Mait,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,1,2
Lian Zhou,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,2
Liudmila D. Konovalova,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Lorenz Göette,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Lorenzo Lorenzo‐Luaces,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,1,2
Lucas Kleine-Stegemann,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Lucian A. Taylor,10.3386/w31137,Biodiversity Risk,Biodiversity Risk,1,2
Maarit Olkkola,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Magdalena Larreboure,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,1,2
Mahfoudh Hussein Mgammal,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Mai Vu,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Maira Emy Reimão,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Manisha Shah,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,1,2
Marcel Fafchamps,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Margaret Kyle,10.1257/pandp.20201017,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,1,2
Margaret McMillan,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Marinko Škare,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Mary Steffel,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Maryam Mottaghi,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Long term cost-effectiveness of resilient foods for global catastrophes compared…,1,2
Masakatsu Nakamura,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Matthias Sutter,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Matthijs M. Maas,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance: A survey of expert opinion,Towards best practices in AGI safety and governance,1,2
Maureen Ebben,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Maximiliane Sievert,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Md Nahid Ferdous Pabon,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Melika Miralem,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
Meng Liu,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Mengdi Liu,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,2
Meriah Lee DeJoseph,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
Mia Ellis,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Michael Rieser,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Michael Walker,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",1,2
Michael Waugh,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Michael Y. Roleda,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Long term cost-effectiveness of resilient foods for global catastrophes compared…,1,2
Mingwei Xu,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,2
Mohammad Rezoanul Hoque,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Monica E Ellwood-Lowe,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
Montse Fernández,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Moti Shatner,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,1,2
Mélissa Hidrobo,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,1,2
Nahian Azad Shashi,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Nan Jia,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Natalie Bau,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,1,2
Nathan A. Fox,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
Nathan Fiala,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Niccolò F. Meriggi,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",1,2
Nicole Kovski,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
Nikhil Kalathil,10.1257/pandp.20201017,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,1,2
Nina Blöndal,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Nneka Osadolor,10.3386/w30835,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,Water Treatment And Child Mortality,1,2
Nuole Chen,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Nursena Aksünger,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",1,2
Ottmar Edenhofer,10.3386/w32450,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,The Macroeconomic Impact of Climate Change,1,2
Paula López-Peña,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,2
Pedro Quelhas Brito,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Peiyao Shen,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Peter Buxmann,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Pheliciah Mwachofi,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",1,2
Philipp Barteska,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Post Raj Pokharel,10.3386/w31137,Biodiversity Risk,Biodiversity Risk,1,2
R. Amirikas,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Rachit Dhiman,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Rebecca Johnson,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Rebecca Littman,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",1,2
Rekha Balu,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Robert Collinson,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,2
Robert F. Stambaugh,10.3386/w31137,Biodiversity Risk,Biodiversity Risk,1,2
Robin L. Chazdon,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,1,2
Russell Burnett,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Russell Golman,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,Information Avoidance and Moral Behavior,1,2
Rémy Lecat,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Saad B. Omer,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Sabina Shaikh,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,Information Avoidance and Moral Behavior,1,2
Sara Lowes,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,1,2
Sarah Shaukat,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Saurabh Mishra,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Seong‐Jin Park,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Seth Benzell,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Shalini Roy,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,1,2
Shaojian Chen,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Sheshadri Chatterjee,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Shih-Chi Ma,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Shi‐Sheng Liu,10.1111/conl.13077,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,1,2
Shmuel San,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Siliang Tong,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Silvia Saccardo,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Sin-Tung Choi,10.1111/conl.13077,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,1,2
Sofia Miteff,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Sonia Parratt Fernández,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,2
Sonja Dobkowitz,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,2
Sreyashi Sharmin,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,1,2
Stephanie Bonds,10.3386/w30835,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,Water Treatment And Child Mortality,1,2
Steven McCabe,10.3386/w32450,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,The Macroeconomic Impact of Climate Change,1,2
