paper,metric,midpoint,lower_bound,upper_bound,model,scale
Fangwa_et_al._2023,methods,80,68,88,gpt-5-pro-2025-10-06,percentile
Fangwa_et_al._2023,advancing_knowledge,83,72,90,gpt-5-pro-2025-10-06,percentile
Fangwa_et_al._2023,logic_communication,89,82,95,gpt-5-pro-2025-10-06,percentile
Fangwa_et_al._2023,open_science,45,30,60,gpt-5-pro-2025-10-06,percentile
Fangwa_et_al._2023,global_relevance,91,84,97,gpt-5-pro-2025-10-06,percentile
Fangwa_et_al._2023,tier_should,4.4,3.8,4.9,gpt-5-pro-2025-10-06,tier
Fangwa_et_al._2023,tier_will,4.0,3.3,4.6,gpt-5-pro-2025-10-06,tier
Frech_et_al._2023,overall,70,60,80,gpt-5-pro-2025-10-06,percentile
Frech_et_al._2023,claims_evidence,66,55,76,gpt-5-pro-2025-10-06,percentile
Frech_et_al._2023,methods,58,45,68,gpt-5-pro-2025-10-06,percentile
Frech_et_al._2023,advancing_knowledge,62,50,72,gpt-5-pro-2025-10-06,percentile
Frech_et_al._2023,logic_communication,78,68,88,gpt-5-pro-2025-10-06,percentile
Frech_et_al._2023,open_science,45,35,60,gpt-5-pro-2025-10-06,percentile
Frech_et_al._2023,global_relevance,82,70,90,gpt-5-pro-2025-10-06,percentile
Frech_et_al._2023,tier_should,3.6,2.8,4.3,gpt-5-pro-2025-10-06,tier
Frech_et_al._2023,tier_will,3.2,2.5,4.0,gpt-5-pro-2025-10-06,tier
Green_et_al._2025,overall,80,70,88,gpt-5-pro-2025-10-06,percentile
Green_et_al._2025,claims_evidence,82,72,90,gpt-5-pro-2025-10-06,percentile
Green_et_al._2025,methods,74,62,84,gpt-5-pro-2025-10-06,percentile
Green_et_al._2025,advancing_knowledge,77,67,86,gpt-5-pro-2025-10-06,percentile
Green_et_al._2025,logic_communication,85,76,92,gpt-5-pro-2025-10-06,percentile
Green_et_al._2025,open_science,91,84,97,gpt-5-pro-2025-10-06,percentile
Green_et_al._2025,global_relevance,86,76,94,gpt-5-pro-2025-10-06,percentile
Green_et_al._2025,tier_should,4.2,3.6,4.7,gpt-5-pro-2025-10-06,tier
Green_et_al._2025,tier_will,4,3.3,4.5,gpt-5-pro-2025-10-06,tier
Hahn_et_al._2025,overall,94,88,98,gpt-5-pro-2025-10-06,percentile
Hahn_et_al._2025,claims_evidence,93,87,97,gpt-5-pro-2025-10-06,percentile
Hahn_et_al._2025,methods,92,85,96,gpt-5-pro-2025-10-06,percentile
Hahn_et_al._2025,advancing_knowledge,94,88,99,gpt-5-pro-2025-10-06,percentile
Hahn_et_al._2025,logic_communication,95,90,99,gpt-5-pro-2025-10-06,percentile
Hahn_et_al._2025,open_science,80,70,90,gpt-5-pro-2025-10-06,percentile
Hahn_et_al._2025,global_relevance,96,90,99,gpt-5-pro-2025-10-06,percentile
Hahn_et_al._2025,tier_should,4.6,4.2,4.9,gpt-5-pro-2025-10-06,tier
Hahn_et_al._2025,tier_will,4.4,3.8,4.9,gpt-5-pro-2025-10-06,tier
Haushofer_et_al._2020,overall,88,82,93,gpt-5-pro-2025-10-06,percentile
Haushofer_et_al._2020,claims_evidence,89,83,94,gpt-5-pro-2025-10-06,percentile
Haushofer_et_al._2020,methods,87,81,92,gpt-5-pro-2025-10-06,percentile
Haushofer_et_al._2020,advancing_knowledge,86,79,92,gpt-5-pro-2025-10-06,percentile
Haushofer_et_al._2020,logic_communication,90,85,96,gpt-5-pro-2025-10-06,percentile
Haushofer_et_al._2020,open_science,68,55,80,gpt-5-pro-2025-10-06,percentile
Haushofer_et_al._2020,global_relevance,93,88,98,gpt-5-pro-2025-10-06,percentile
Haushofer_et_al._2020,tier_should,4.4,3.7,4.8,gpt-5-pro-2025-10-06,tier
Haushofer_et_al._2020,tier_will,4.1,3.5,4.6,gpt-5-pro-2025-10-06,tier
Hill_et_al._2024,overall,93,88,97,gpt-5-pro-2025-10-06,percentile
Hill_et_al._2024,claims_evidence,86,80,92,gpt-5-pro-2025-10-06,percentile
Hill_et_al._2024,methods,85,78,91,gpt-5-pro-2025-10-06,percentile
Hill_et_al._2024,advancing_knowledge,92,86,97,gpt-5-pro-2025-10-06,percentile
Hill_et_al._2024,logic_communication,92,88,96,gpt-5-pro-2025-10-06,percentile
Hill_et_al._2024,open_science,55,40,70,gpt-5-pro-2025-10-06,percentile
Hill_et_al._2024,global_relevance,90,82,96,gpt-5-pro-2025-10-06,percentile
Hill_et_al._2024,tier_should,4.7,4.3,5.0,gpt-5-pro-2025-10-06,tier
Hill_et_al._2024,tier_will,4.6,4.0,5.0,gpt-5-pro-2025-10-06,tier
Jack_et_al._2022,overall,87,80,94,gpt-5-pro-2025-10-06,percentile
Jack_et_al._2022,claims_evidence,86,78,92,gpt-5-pro-2025-10-06,percentile
Jack_et_al._2022,methods,83,75,89,gpt-5-pro-2025-10-06,percentile
Jack_et_al._2022,advancing_knowledge,92,86,97,gpt-5-pro-2025-10-06,percentile
Jack_et_al._2022,logic_communication,84,77,90,gpt-5-pro-2025-10-06,percentile
Jack_et_al._2022,open_science,55,40,66,gpt-5-pro-2025-10-06,percentile
Jack_et_al._2022,global_relevance,95,90,99,gpt-5-pro-2025-10-06,percentile
Jack_et_al._2022,tier_should,4.4,3.8,4.8,gpt-5-pro-2025-10-06,tier
Jack_et_al._2022,tier_will,4.5,3.7,4.9,gpt-5-pro-2025-10-06,tier
Jaroszewicz_et_al._2024,overall,88,82,93,gpt-5-pro-2025-10-06,percentile
Jaroszewicz_et_al._2024,claims_evidence,88,83,93,gpt-5-pro-2025-10-06,percentile
Jaroszewicz_et_al._2024,methods,87,82,92,gpt-5-pro-2025-10-06,percentile
Jaroszewicz_et_al._2024,advancing_knowledge,85,78,91,gpt-5-pro-2025-10-06,percentile
Jaroszewicz_et_al._2024,logic_communication,90,85,95,gpt-5-pro-2025-10-06,percentile
Jaroszewicz_et_al._2024,open_science,68,58,78,gpt-5-pro-2025-10-06,percentile
Jaroszewicz_et_al._2024,global_relevance,79,71,86,gpt-5-pro-2025-10-06,percentile
Jaroszewicz_et_al._2024,tier_should,4.4,3.8,4.9,gpt-5-pro-2025-10-06,tier
Jaroszewicz_et_al._2024,tier_will,4.1,3.4,4.6,gpt-5-pro-2025-10-06,tier
Kirkland_et_al._2023,overall,70,58,80,gpt-5-pro-2025-10-06,percentile
Kirkland_et_al._2023,claims_evidence,74,64,84,gpt-5-pro-2025-10-06,percentile
Kirkland_et_al._2023,methods,62,50,74,gpt-5-pro-2025-10-06,percentile
Kirkland_et_al._2023,advancing_knowledge,66,55,77,gpt-5-pro-2025-10-06,percentile
Kirkland_et_al._2023,logic_communication,78,68,88,gpt-5-pro-2025-10-06,percentile
Kirkland_et_al._2023,open_science,57,42,70,gpt-5-pro-2025-10-06,percentile
Kirkland_et_al._2023,global_relevance,49,36,60,gpt-5-pro-2025-10-06,percentile
Kirkland_et_al._2023,tier_should,3.6,3.0,4.2,gpt-5-pro-2025-10-06,tier
Kirkland_et_al._2023,tier_will,3.5,2.8,4.1,gpt-5-pro-2025-10-06,tier
Kremer_et_al._2020,overall,76,66,85,gpt-5-pro-2025-10-06,percentile
Kremer_et_al._2020,claims_evidence,61,49,70,gpt-5-pro-2025-10-06,percentile
Kremer_et_al._2020,methods,47,35,58,gpt-5-pro-2025-10-06,percentile
Kremer_et_al._2020,advancing_knowledge,80,70,88,gpt-5-pro-2025-10-06,percentile
Kremer_et_al._2020,logic_communication,88,80,94,gpt-5-pro-2025-10-06,percentile
Kremer_et_al._2020,open_science,34,22,46,gpt-5-pro-2025-10-06,percentile
Kremer_et_al._2020,global_relevance,94,88,98,gpt-5-pro-2025-10-06,percentile
Kremer_et_al._2020,tier_should,3.7,3.1,4.3,gpt-5-pro-2025-10-06,tier
Kremer_et_al._2020,tier_will,3.9,3.0,4.8,gpt-5-pro-2025-10-06,tier
Kremer_et_al._2022,overall,90,82,96,gpt-5-pro-2025-10-06,percentile
Kremer_et_al._2022,claims_evidence,88,80,94,gpt-5-pro-2025-10-06,percentile
Kremer_et_al._2022,methods,85,76,92,gpt-5-pro-2025-10-06,percentile
Kremer_et_al._2022,advancing_knowledge,92,85,98,gpt-5-pro-2025-10-06,percentile
Kremer_et_al._2022,logic_communication,87,80,93,gpt-5-pro-2025-10-06,percentile
Kremer_et_al._2022,open_science,88,75,95,gpt-5-pro-2025-10-06,percentile
Kremer_et_al._2022,global_relevance,97,92,99,gpt-5-pro-2025-10-06,percentile
Kremer_et_al._2022,tier_should,4.4,3.8,4.9,gpt-5-pro-2025-10-06,tier
Kremer_et_al._2022,tier_will,4.2,3.4,4.7,gpt-5-pro-2025-10-06,tier
Kubo_et_al._2023,overall,71,60,82,gpt-5-pro-2025-10-06,percentile
Kubo_et_al._2023,claims_evidence,67,55,78,gpt-5-pro-2025-10-06,percentile
Kubo_et_al._2023,methods,65,52,77,gpt-5-pro-2025-10-06,percentile
Kubo_et_al._2023,advancing_knowledge,68,57,80,gpt-5-pro-2025-10-06,percentile
Kubo_et_al._2023,logic_communication,76,66,86,gpt-5-pro-2025-10-06,percentile
Kubo_et_al._2023,open_science,60,45,75,gpt-5-pro-2025-10-06,percentile
Kubo_et_al._2023,global_relevance,72,60,84,gpt-5-pro-2025-10-06,percentile
Kubo_et_al._2023,tier_should,3.6,3.0,4.2,gpt-5-pro-2025-10-06,tier
Kubo_et_al._2023,tier_will,3.4,2.6,4.1,gpt-5-pro-2025-10-06,tier
Kudymowa_et_al._2023,overall,72,60,82,gpt-5-pro-2025-10-06,percentile
Kudymowa_et_al._2023,claims_evidence,65,50,78,gpt-5-pro-2025-10-06,percentile
Kudymowa_et_al._2023,methods,62,45,75,gpt-5-pro-2025-10-06,percentile
Kudymowa_et_al._2023,advancing_knowledge,70,55,83,gpt-5-pro-2025-10-06,percentile
Kudymowa_et_al._2023,logic_communication,80,70,90,gpt-5-pro-2025-10-06,percentile
Kudymowa_et_al._2023,open_science,60,45,75,gpt-5-pro-2025-10-06,percentile
Kudymowa_et_al._2023,global_relevance,78,65,88,gpt-5-pro-2025-10-06,percentile
Kudymowa_et_al._2023,tier_should,2.6,2.0,3.3,gpt-5-pro-2025-10-06,tier
Kudymowa_et_al._2023,tier_will,2.3,1.5,3.0,gpt-5-pro-2025-10-06,tier
Liang_et_al._2025,overall,78,68,87,gpt-5-pro-2025-10-06,percentile
Liang_et_al._2025,claims_evidence,75,65,85,gpt-5-pro-2025-10-06,percentile
Liang_et_al._2025,methods,76,66,86,gpt-5-pro-2025-10-06,percentile
Liang_et_al._2025,advancing_knowledge,82,72,90,gpt-5-pro-2025-10-06,percentile
Liang_et_al._2025,logic_communication,72,62,82,gpt-5-pro-2025-10-06,percentile
Liang_et_al._2025,open_science,45,30,60,gpt-5-pro-2025-10-06,percentile
Liang_et_al._2025,global_relevance,85,75,92,gpt-5-pro-2025-10-06,percentile
Liang_et_al._2025,tier_should,3.8,3.2,4.4,gpt-5-pro-2025-10-06,tier
Liang_et_al._2025,tier_will,3.5,2.9,4.2,gpt-5-pro-2025-10-06,tier
Liang_et_al_2023,overall,86,76,93,gpt-5-pro-2025-10-06,percentile
Liang_et_al_2023,claims_evidence,78,68,88,gpt-5-pro-2025-10-06,percentile
Liang_et_al_2023,methods,80,70,89,gpt-5-pro-2025-10-06,percentile
Liang_et_al_2023,advancing_knowledge,84,74,92,gpt-5-pro-2025-10-06,percentile
Liang_et_al_2023,logic_communication,87,80,94,gpt-5-pro-2025-10-06,percentile
Liang_et_al_2023,open_science,65,55,75,gpt-5-pro-2025-10-06,percentile
Liang_et_al_2023,global_relevance,82,72,90,gpt-5-pro-2025-10-06,percentile
Liang_et_al_2023,tier_should,4.3,3.7,4.8,gpt-5-pro-2025-10-06,tier
Liang_et_al_2023,tier_will,4.2,3.5,4.7,gpt-5-pro-2025-10-06,tier
McGuire_et_al._2024,overall,83,75,90,gpt-5-pro-2025-10-06,percentile
McGuire_et_al._2024,claims_evidence,78,70,86,gpt-5-pro-2025-10-06,percentile
McGuire_et_al._2024,methods,76,65,84,gpt-5-pro-2025-10-06,percentile
McGuire_et_al._2024,advancing_knowledge,82,72,90,gpt-5-pro-2025-10-06,percentile
McGuire_et_al._2024,logic_communication,88,80,94,gpt-5-pro-2025-10-06,percentile
McGuire_et_al._2024,open_science,62,50,75,gpt-5-pro-2025-10-06,percentile
McGuire_et_al._2024,global_relevance,90,82,96,gpt-5-pro-2025-10-06,percentile
McGuire_et_al._2024,tier_should,3.6,3.0,4.2,gpt-5-pro-2025-10-06,tier
McGuire_et_al._2024,tier_will,3.0,2.3,3.7,gpt-5-pro-2025-10-06,tier
Naidu_et_al._2023,overall,89,82,94,gpt-5-pro-2025-10-06,percentile
Naidu_et_al._2023,claims_evidence,87,80,92,gpt-5-pro-2025-10-06,percentile
Naidu_et_al._2023,methods,84,76,90,gpt-5-pro-2025-10-06,percentile
Naidu_et_al._2023,advancing_knowledge,90,83,95,gpt-5-pro-2025-10-06,percentile
Naidu_et_al._2023,logic_communication,88,82,93,gpt-5-pro-2025-10-06,percentile
Naidu_et_al._2023,open_science,62,45,75,gpt-5-pro-2025-10-06,percentile
Naidu_et_al._2023,global_relevance,93,87,98,gpt-5-pro-2025-10-06,percentile
Naidu_et_al._2023,tier_should,4.4,3.8,4.9,gpt-5-pro-2025-10-06,tier
Naidu_et_al._2023,tier_will,4.2,3.5,4.7,gpt-5-pro-2025-10-06,tier
Peterman_et_al._2025,overall,82,74,89,gpt-5-pro-2025-10-06,percentile
Peterman_et_al._2025,claims_evidence,81,73,88,gpt-5-pro-2025-10-06,percentile
Peterman_et_al._2025,methods,78,70,86,gpt-5-pro-2025-10-06,percentile
Peterman_et_al._2025,advancing_knowledge,83,75,90,gpt-5-pro-2025-10-06,percentile
Peterman_et_al._2025,logic_communication,76,68,84,gpt-5-pro-2025-10-06,percentile
Peterman_et_al._2025,open_science,64,50,78,gpt-5-pro-2025-10-06,percentile
Peterman_et_al._2025,global_relevance,92,85,97,gpt-5-pro-2025-10-06,percentile
Peterman_et_al._2025,tier_should,4.2,3.6,4.7,gpt-5-pro-2025-10-06,tier
Peterman_et_al._2025,tier_will,4.0,3.3,4.5,gpt-5-pro-2025-10-06,tier
Salazar_and_Restrepo_2024,overall,68,60,76,gpt-5-pro-2025-10-06,percentile
Salazar_and_Restrepo_2024,claims_evidence,62,50,72,gpt-5-pro-2025-10-06,percentile
Salazar_and_Restrepo_2024,methods,60,48,70,gpt-5-pro-2025-10-06,percentile
Salazar_and_Restrepo_2024,advancing_knowledge,72,60,82,gpt-5-pro-2025-10-06,percentile
Salazar_and_Restrepo_2024,logic_communication,66,56,76,gpt-5-pro-2025-10-06,percentile
Salazar_and_Restrepo_2024,open_science,35,20,55,gpt-5-pro-2025-10-06,percentile
Salazar_and_Restrepo_2024,global_relevance,82,70,92,gpt-5-pro-2025-10-06,percentile
Salazar_and_Restrepo_2024,tier_should,3.6,3.0,4.2,gpt-5-pro-2025-10-06,tier
Salazar_and_Restrepo_2024,tier_will,3.2,2.6,3.8,gpt-5-pro-2025-10-06,tier
Schoenegger_et_al._2025,overall,72,60,82,gpt-5-pro-2025-10-06,percentile
Schoenegger_et_al._2025,claims_evidence,70,58,80,gpt-5-pro-2025-10-06,percentile
Schoenegger_et_al._2025,methods,64,52,74,gpt-5-pro-2025-10-06,percentile
Schoenegger_et_al._2025,advancing_knowledge,68,55,78,gpt-5-pro-2025-10-06,percentile
Schoenegger_et_al._2025,logic_communication,78,68,88,gpt-5-pro-2025-10-06,percentile
Schoenegger_et_al._2025,open_science,62,45,75,gpt-5-pro-2025-10-06,percentile
Schoenegger_et_al._2025,global_relevance,66,54,78,gpt-5-pro-2025-10-06,percentile
Schoenegger_et_al._2025,tier_should,3.6,3.0,4.2,gpt-5-pro-2025-10-06,tier
Schoenegger_et_al._2025,tier_will,3.7,3.1,4.3,gpt-5-pro-2025-10-06,tier
Schuett_et_al._2023,overall,74,62,84,gpt-5-pro-2025-10-06,percentile
Schuett_et_al._2023,claims_evidence,68,55,80,gpt-5-pro-2025-10-06,percentile
Schuett_et_al._2023,methods,64,50,77,gpt-5-pro-2025-10-06,percentile
Schuett_et_al._2023,advancing_knowledge,66,52,80,gpt-5-pro-2025-10-06,percentile
Schuett_et_al._2023,logic_communication,86,78,92,gpt-5-pro-2025-10-06,percentile
Schuett_et_al._2023,open_science,82,68,90,gpt-5-pro-2025-10-06,percentile
Schuett_et_al._2023,global_relevance,84,72,92,gpt-5-pro-2025-10-06,percentile
Schuett_et_al._2023,tier_should,3.4,2.8,4.1,gpt-5-pro-2025-10-06,tier
Schuett_et_al._2023,tier_will,3.0,2.2,3.7,gpt-5-pro-2025-10-06,tier
Trammel_and_Aschenbrenner_2024,overall,86,78,92,gpt-5-pro-2025-10-06,percentile
Trammel_and_Aschenbrenner_2024,claims_evidence,76,65,85,gpt-5-pro-2025-10-06,percentile
Trammel_and_Aschenbrenner_2024,methods,89,82,95,gpt-5-pro-2025-10-06,percentile
Trammel_and_Aschenbrenner_2024,advancing_knowledge,82,70,90,gpt-5-pro-2025-10-06,percentile
Trammel_and_Aschenbrenner_2024,logic_communication,88,80,94,gpt-5-pro-2025-10-06,percentile
Trammel_and_Aschenbrenner_2024,open_science,68,56,80,gpt-5-pro-2025-10-06,percentile
Trammel_and_Aschenbrenner_2024,global_relevance,83,72,90,gpt-5-pro-2025-10-06,percentile
Trammel_and_Aschenbrenner_2024,tier_should,3.8,3.2,4.3,gpt-5-pro-2025-10-06,tier
Trammel_and_Aschenbrenner_2024,tier_will,3.5,2.9,4.0,gpt-5-pro-2025-10-06,tier
Walker_et_al._2023,overall,86,78,93,gpt-5-pro-2025-10-06,percentile
Walker_et_al._2023,claims_evidence,84,75,90,gpt-5-pro-2025-10-06,percentile
Walker_et_al._2023,methods,82,70,90,gpt-5-pro-2025-10-06,percentile
Walker_et_al._2023,advancing_knowledge,90,82,96,gpt-5-pro-2025-10-06,percentile
Walker_et_al._2023,logic_communication,88,80,94,gpt-5-pro-2025-10-06,percentile
Walker_et_al._2023,open_science,60,45,70,gpt-5-pro-2025-10-06,percentile
Walker_et_al._2023,global_relevance,90,83,96,gpt-5-pro-2025-10-06,percentile
Walker_et_al._2023,tier_should,4.3,3.7,4.8,gpt-5-pro-2025-10-06,tier
Walker_et_al._2023,tier_will,4.1,3.4,4.6,gpt-5-pro-2025-10-06,tier
Weaver_et_al._2025,overall,90,85,95,gpt-5-pro-2025-10-06,percentile
Weaver_et_al._2025,claims_evidence,88,82,94,gpt-5-pro-2025-10-06,percentile
Weaver_et_al._2025,methods,85,78,90,gpt-5-pro-2025-10-06,percentile
Weaver_et_al._2025,advancing_knowledge,89,83,95,gpt-5-pro-2025-10-06,percentile
Weaver_et_al._2025,logic_communication,90,85,95,gpt-5-pro-2025-10-06,percentile
Weaver_et_al._2025,open_science,62,50,72,gpt-5-pro-2025-10-06,percentile
Weaver_et_al._2025,global_relevance,95,90,98,gpt-5-pro-2025-10-06,percentile
Weaver_et_al._2025,tier_should,4.4,3.8,4.8,gpt-5-pro-2025-10-06,tier
Weaver_et_al._2025,tier_will,4.2,3.6,4.7,gpt-5-pro-2025-10-06,tier
Williams_et_al._2024,overall,87,78,93,gpt-5-pro-2025-10-06,percentile
Williams_et_al._2024,claims_evidence,82,75,88,gpt-5-pro-2025-10-06,percentile
Williams_et_al._2024,methods,75,65,85,gpt-5-pro-2025-10-06,percentile
Williams_et_al._2024,advancing_knowledge,85,75,92,gpt-5-pro-2025-10-06,percentile
Williams_et_al._2024,logic_communication,90,84,96,gpt-5-pro-2025-10-06,percentile
Williams_et_al._2024,open_science,62,50,75,gpt-5-pro-2025-10-06,percentile
Williams_et_al._2024,global_relevance,92,85,97,gpt-5-pro-2025-10-06,percentile
Williams_et_al._2024,tier_should,4.3,3.8,4.8,gpt-5-pro-2025-10-06,tier
Williams_et_al._2024,tier_will,4.6,4.0,5.0,gpt-5-pro-2025-10-06,tier
Xing_et_al._2023,overall,82,74,89,gpt-5-pro-2025-10-06,percentile
Xing_et_al._2023,claims_evidence,78,70,85,gpt-5-pro-2025-10-06,percentile
Xing_et_al._2023,methods,72,60,82,gpt-5-pro-2025-10-06,percentile
Xing_et_al._2023,advancing_knowledge,86,78,93,gpt-5-pro-2025-10-06,percentile
Xing_et_al._2023,logic_communication,80,70,88,gpt-5-pro-2025-10-06,percentile
Xing_et_al._2023,open_science,40,25,55,gpt-5-pro-2025-10-06,percentile
Xing_et_al._2023,global_relevance,90,82,96,gpt-5-pro-2025-10-06,percentile
Xing_et_al._2023,tier_should,4.2,3.6,4.7,gpt-5-pro-2025-10-06,tier
Xing_et_al._2023,tier_will,4.3,3.5,4.8,gpt-5-pro-2025-10-06,tier
