ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
0926-2644,Group Decision and Negotiation,Gen & Strat,B,,3,S,2,1,B,04-Jan,A,3,B
1089-2699,Group Dynamics,Gen & Strat,,,3,,2,1,B,2.0,B,3,
0017-4815,Growth and Change,Sociology,,,3,,2,1,B,02-Feb,B,4,
0017-8012,Harvard Business Review,Gen & Strat,C,1,,M*,3,1,A,02-Aug,A,2,B
0966-0410,Health and Social Care in the Community,PSM,,,,,2,1,,03-May,,,
1386-9620,Health Care Management Science,"MIS, KM",A,,4,S,2,1,B,04-Jun,B,3,
1057-9230,Health Economics (United Kingdom),Economics,A,,1,,3,2,A,04-Jun,A*,,B
0168-8510,Health Policy,Economics,B,,2,,2,2,A,04-Mar,A,2,B
0957-4824,Health Promotion International,Marketing,,,,,,1,,03-May,A,,
0951-4848,Health Services Management Research,PSM,C,,4,,1,1,C,02-May,C,4,
0018-1560,Higher Education,Education,C,,,,2,2,,06-Mar,,,
0951-5224,Higher Education Quarterly,PSM,,,,,2,1,,03-Apr,C,,
0018-2702,History of Political Economy,Economics,,,1,,2,2,A,01-May,A,,
0360-3989,Human Communication Research,Comm,,,,,,2,,07-Apr,A,,
1547-8181,Human Factors,"OS/OB,HRM/IR",,,,,3,1,,06-Feb,,,
0018-7259,Human Organization,"OS/OB,HRM/IR",,,,,2,2,,01-Mar,,,
0895-9285,Human Performance,"OS/OB,HRM/IR",B,,,,3,1,B,02-May,A,3,B
0018-7267,Human Relations,"OS/OB,HRM/IR",B,1,2,P,4,2,A,07-Jan,A*,1,A
1044-8004,Human Resource Development Quarterly,"OS/OB,HRM/IR",,,,,2,1,,04-Jul,B,4,
0090-4848,Human Resource Management,"OS/OB,HRM/IR",B,1,2,P,4,2,A,07-Apr,A*,1,A
0954-5395,Human Resource Management Journal,"OS/OB,HRM/IR",B,,3,S,4*,2,A,07-Aug,A,2,B
1053-4822,Human Resource Management Review,"OS/OB,HRM/IR",B,,3,P,3,2,A,11.0,A,2,B
0199-8986,Human Resource Planning,"OS/OB,HRM/IR",,,,,1,,,,,,
0737-0024,Human-Computer Interaction,"MIS, KM",C,,,,1,2,,08-Sep,A,,B
0018-8670,IBM Systems Journal,"MIS, KM",C,,,,,,,,A,,
1541-1672,IEEE Intelligent Systems,"MIS, KM",,,,,,2,,9.0,,,
0018-9286,IEEE Transactions on Automatic Control,"MIS, KM",,,,,,2,,12-Sep,,,
1558-0040,IEEE Transactions on Engineering Management,"OR,MS,POM",B,,3,P,3,1,A,04-Mar,A,2,B
1524-9050,IEEE Transactions on Intelligent Transportation Systems,"OR,MS,POM",,,,S,,2,,13-May,A,,B
1041-4347,IEEE Transactions on Knowledge and Data Engineering,"MIS, KM",,,,P,,2,A,13-Mar,,2,
0098-5589,IEEE Transactions on Software Engineering,"MIS, KM",B,,,,,2,A,14-Sep,,2,
0740-817X,IIE Transactions (Institute of Industrial Engineers),"MIS, KM",A,,,P,3,1,,,A,,B
0019-7939,ILR Review,"OS/OB,HRM/IR",A/B,,2,,3,2,A,05-Jun,A*,2,A
2041-4161,IMF Economic Review,Economics,,,3,,3,1,,03-Mar,A,,
0960-6491,Industrial and Corporate Change,Economics,B,,1,P,3,2,A,04-Feb,A,2,B
0263-5577,Industrial Management and Data Systems,"OR,MS,POM",C,,3,,2,1,B,07-Jan,A,3,B
0019-8501,Industrial Marketing Management,Marketing,B,,2,S,3,2,A,08-Aug,A*,2,A
0019-8676,Industrial Relations,"OS/OB,HRM/IR",,,1,P,4,2,A,02-Sep,A*,1,A
0019-8692,Industrial Relations Journal,"OS/OB,HRM/IR",,,,,3,1,,0.5,A,,B
1366-2716,Industry and Innovation,Innovation,B,,3,S,3,2,B,05-Sep,B,3,B
0378-7206,Information and Management,"MIS, KM",B,,2,P,3,2,A,12-Mar,A*,2,A
1471-7727,Information and Organization,F&A,B,,2,,3,2,A,09-Jul,A*,2,A
0950-5849,Information and Software Technology,"MIS, KM",,,,,,2,,08-Jun,A,,
0167-6245,Information Economics and Policy,Economics,,,2,,2,1,A,03-Jun,A,,
0306-4573,Information Processing and Management,"MIS, KM",,,,S,2,2,,08-Jun,B,,B
0020-0190,Information Processing Letters,"MIS, KM",,,,,,2,,02-Mar,C,,
1040-1628,Information Resources Management Journal,"MIS, KM",D,,,,1,1,,01-Jun,C,,
0197-2243,Information Society,"MIS, KM",,,,,3,2,,04-Aug,A,,B
,,,,,,,,,,,,,
ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
,,,2015,2016,2020,2020,2021,2021,2021,CiteSc ,2022,2022,2023
,,, A+-D,1=Y,  1*-4,P*-S,4*-1,02-Jan,   A-C,2021,A*-C,1*-4, A+-B
0306-4379,Information Systems,"MIS, KM",B,,,,,2,,07-Mar,,,
1387-3326,Information Systems Frontiers,"MIS, KM",B,,,,3,1,B,08-May,A,3,B
1350-1917,Information Systems Journal,"MIS, KM",A,,2,S,4,2,A,12-Mar,A*,1,A
1058-0530,Information Systems Management,"MIS, KM",C,,,,2,2,,03-Apr,B,,
1047-7047,Information Systems Research,"MIS, KM",A+,1,1,P*,4*,2,A,07-Mar,A*,1*,A+
1385-951X,Information Technology and Management,"MIS, KM",C,,,,1,1,,04-Mar,B,4,
0959-3845,Information Technology and People,"MIS, KM",,,3,,3,2,B,04-Apr,A,3,B
0167-6687,Insurance: Mathematics and Economics,"MIS, KM",B,,3,,3,2,B,02-Jul,A*,3,B
0092-2102,Interfaces,"OR,MS,POM",B,,,P,2,1,,01-Jun,B,3,
1091-9856,Interfaces (formerly INFORMS Journal on Computing),"OR,MS,POM",A,,,,n/a,2,,n/a,B,,
0969-5931,International Business Review,IB,B,,2,S,3,2,A,08-Sep,A,2,B
0020-6598,International Economic Review,Economics,B,,1,,4,2,A,02-Jun,A*,1,
0020-7063,International Journal of Accounting,F&A,B,,3,,3,1,B,03-Apr,A,3,B
1094-4060,International Journal of Accounting Information Systems,F&A,C,,,,2,1,,06-Apr,A,4,B
0265-0487,International Journal of Advertising,Marketing,C,,3,,2,2,B,06-Feb,A,3,B
1090-6738,International Journal of Auditing,F&A,B,,3,,2,1,B,02-Jul,A,3,
0265-2323,International Journal of Bank Marketing,Marketing,D,,4,,1,1,C,06-Feb,A,4,
2329-4884,International Journal of Business Communication,Comm,,,,,,1,,,C,,
1368-4892,International Journal of Business Performance Manageme,nGen & Strat,D,,,,1,1,,01-Feb,,,
1815-4654,International Journal of Central Banking,Economics,,,3,,3,1,B,02-Apr,A,,
0951-192X,International Journal of Computer Integrated Manufacturin,"MIS, KM",,,,,2,1,,06-Apr,B,,
1044-4068,International Journal of Conflict Management,Gen & Strat,,,,,2,1,,02-Aug,A,,
0959-6119,International Journal of Contemporary Hospitality Manage,mTourism,,,3,,3,1,B,09-Mar,A,,
1470-5958,International Journal of Cross Cultural Management,"OS/OB,HRM/IR",C,,4,,1,1,C,02-Jan,B,4,
1086-4415,International Journal of Electronic Commerce,"MIS, KM",B,,2,P,3,1,A,6.0,A,2,B
1039-6993,International Journal of Employment Studies,"OS/OB,HRM/IR",,,,,1,1,,,C,,
1355-2554,International Journal of Entrepreneurial Behaviour and Re,sEntrep,C,,4,,3,1,B,06-Feb,B,3,
1465-7503,International Journal of Entrepreneurship and Innovation,Entrep,C,,4,,2,1,C,03-Jan,C,4,
1076-9307,International Journal of Finance and Economics,F&A,,,3,,3,1,B,02-Jan,B,3,
0169-2070,International Journal of Forecasting,Economics,C,,2,,3,2,A,05-Apr,A,3,B
0020-7276,International Journal of Game Theory,Economics,A,,2,,2,1,A,01-Feb,A,,
0278-4319,International Journal of Hospitality Management,Tourism,,,,,3,1,B,09-Apr,A*,3,
1071-5819,International Journal of Human Computer Studies,"OR,MS,POM",,,3,S,2,2,B,8.0,B,4,B
0958-5192,International Journal of Human Resource Management,"OS/OB, ",B,,3,S,3,2,A,06-Sep,A,2,B
,,"HRM/IR, IB",,,,,,,,,,,
0167-7187,International Journal of Industrial Organization,"OS/OB,HRM/IR",B,,1,P,3,2,A,02-Jun,A,,B
0268-4012,International Journal of Information Management,"MIS, KM",C,,3,S,2,2,A,18-Jan,A*,3,B
1363-9196,International Journal of Innovation Management,Innovation,B,,4,,2,1,C,03-Mar,,4,
0147-1767,International Journal of Intercultural Relations,"OS/OB,HRM/IR",,,,,1,1,,03-Jun,A,4,
0957-4093,International Journal of Logistics Management,"OR,MS,POM",C,,3,,1,1,B,07-Jun,A,3,B
1367-5567,International Journal of Logistics Research and Application,"OR,MS,POM",C,,3,,1,1,B,05-Apr,B,3,
1460-8545,International Journal of Management Reviews,Gen & Strat,B,,2,,3,2,A,20-Aug,A,2,B
1743-9132,International Journal of Managerial Finance,F&A,,,,,2,1,,02-May,A,,
0143-7720,International Journal of Manpower,"OS/OB,HRM/IR",C,,3,,2,1,B,02-Mar,A,3,
1470-7853,International Journal of Market Research,Marketing,D,,4,,2,1,B,02-Jan,A,3,
0144-3577,International Journal of Operations and Production Manag,"OR,MS,POM",B,,2,P,4,2,A,10-Jul,A,1,A
0960-0035,International Journal of Physical Distribution and Logistics ,"MOR,MS,POM",B,,2,S,2,1,A,09-Jan,A,2,B
0925-5273,International Journal of Production Economics,"OR,MS,POM",B,,1,S,3,2,A,12-Feb,A,1,B
0020-7543,International Journal of Production Research,"OR,MS,POM",B,,2,S,3,1,A,10-Aug,A,2,B
0263-7863,International Journal of Project Management,"OR,MS,POM",C,,2,,2,2,A,16-Apr,A,2,B
0190-0692,International Journal of Public Administration,PSM,C,,3,,2,1,B,02-Apr,B,3,
1471-6909,International Journal of Public Opinion Research,Marketing,,,3,,,2,B,03-Jul,A,,B
0951-3558,International Journal of Public Sector Management,PSM,C,,3,,1,1,B,3.0,B,4,
0265-671X,International Journal of Quality and Reliability Managemen,"tOR,MS,POM",,,3,,2,1,B,04-Feb,B,3,
0167-8116,International Journal of Research in Marketing,Marketing,A,,2,P*,4,2,A,08-Aug,A*,1,A
0959-0552,International Journal of Retail and Distribution Manageme,nMarketing,C,,3,,2,1,B,04-Jun,A,3,B
0965-075X,International Journal of Selection and Assessment,"OS/OB,HRM/IR",,,,S,2,1,C,02-Jan,A,4,B
0306-8293,International Journal of Social Economics,Economics,,,,,1,1,B,01-Jun,B,,
,,,,,,,,,,,,,
ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
,,,2015,2016,2020,2020,2021,2021,2021,CiteSc ,2022,2022,2023
,,, A+-D,1=Y,  1*-4,P*-S,4*-1,02-Jan,   A-C,2021,A*-C,1*-4, A+-B
1072-5245,International Journal of Stress Management,"Psych, OS/OB",,,,,2,1,,5.0,A,4,
0267-5730,International Journal of Technology Management,Innovation,C,,3,,2,2,B,2.0,B,3,
1357-1516,International Journal of the Economics of Business,Economics,C,,3,,2,1,B,01-Mar,B,,
0219-0249,International Journal of Theoretical and Applied Finance,F&A,B,,3,,2,1,B,0.9,B,3,
1099-2340,International Journal of Tourism Research,Tourism,,,,,2,1,,05-Mar,A,,
1360-3736,International Journal of Training and Development,"OS/OB,HRM/IR",,,,,2,1,,02-Sep,C,,
0309-1317,International Journal of Urban and Regional Research,Sociology,,,3,,2,2,B,06-Jan,B,3,
0020-7780,International Labour Review,"OS/OB,HRM/IR",,,3,,2,1,B,02-Feb,B,3,
0265-1335,International Marketing Review,Marketing,B,,3,S,3,1,A,05-Jul,A,2,
1382-340X,International Negotiation,"OS/OB,HRM/IR",,,,,1,1,,1.0,A,,
0020-8183,International Organization,Economics,,,3,,,2,B,09-Feb,B,,
0160-0176,International Regional Science Review,Economics,,,2,,,1,A,04-Jul,B,,
0020-8523,International Review of Administrative Sciences,PSM,C,,3,,3,1,B,04-Feb,C,3,
0269-2171,International Review of Applied Economics,Economics,,,4,,1,1,C,01-Sep,B,,
1059-0560,International Review of Economics and Finance,Economics,,,,,2,1,C,03-Jun,A,4,
1369-412X,International Review of Finance,F&A,,,,,,1,,2.0,A,,
1057-5219,International Review of Financial Analysis,F&A,,,3,,3,1,B,04-Sep,A,3,B
0144-8188,International Review of Law and Economics,Economics,B,,1,,2,2,A,01-Feb,B,,B
1229-4659,International Review of Public Administration,PSM,,,4,,1,2,C,1.0,B,4,
0959-3969,"International Review of Retail, Distribution and Consumer ",RMarketing,C,,,,1,1,,02-Apr,B,,
0266-2426,International Small Business Journal,Entrep,C,,2,S,3,2,A,8.0,A,2,B
1468-2451,International Social Science Journal,Sociology,,,,,,1,,01-Jan,B,,
0020-8825,International Studies of Management and Organization,IB,C,,4,,2,1,B,02-Apr,B,3,
0020-8833,International Studies Quarterly,Economics,,,,,,2,,03-Mar,A,,
0927-5940,International Tax and Public Finance,PSM,B,,2,,2,1,A,01-Jul,B,,
0969-6016,International Transactions in Operational Research,"OR,MS,POM",D,,3,,1,1,B,06-Feb,B,4,
1066-2243,Internet Research,"MIS, KM",,,,,3,2,,08-May,A,4,B
0739-3172,Issues in Accounting Education,Education,C,,,,2,1,,01-Jul,A,,
2193-8997,IZA Journal of Labor Economics,Economics,,,,,,1,,02-Jul,A,,
0922-1425,Japan and the World Economy,Economics,,,,,1,1,,01-Apr,B,,
1040-9602,Journal for Quality and Participation,"OR,MS,POM",,,,,,,,,C,,
0165-4101,Journal of Accounting and Economics,F&A,A+,1,1*,P*,4*,2,A,07-Apr,A*,1*,A+
0278-4254,Journal of Accounting and Public Policy,F&A,B,,2,S,3,1,A,04-Mar,A,2,B
0748-5751,Journal of Accounting Education,Education,C,,,,2,1,,04-Jul,B,,
0737-4607,Journal of Accounting Literature,F&A,B,,3,S,3,1,B,06-May,A,3,B
0021-8456,Journal of Accounting Research,F&A,A+,1,1,P*,4*,2,A,07-Jan,A*,1*,A+
0148-558X,"Journal of Accounting, Auditing and Finance",F&A,B,,3,S,3,1,B,02-Apr,A,3,B
0091-3367,Journal of Advertising,Marketing,B,,3,P,3,1,A,11-Mar,A,2,B
0021-8499,Journal of Advertising Research,Marketing,C,,3,S,3,1,A,03-Jul,A,2,B
0090-9882,Journal of Applied Communication Research,Comm,,,,,,1,,02-Jul,B,,
1078-1196,Journal of Applied Corporate Finance,F&A,C,,,S,1,1,,,A,,
0883-7252,Journal of Applied Econometrics,Economics,,,1,,3,2,A,4.0,A*,2,
1514-0326,Journal of Applied Economics,Economics,,,,,1,1,,01-Apr,B,,
0021-9010,Journal of Applied Psychology,Psychology,A,1,1,P*,4*,2,A,12-Mar,A*,1*,A+
0021-9029,Journal of Applied Social Psychology,Psychology,B,,,,2,1,,02-Sep,B,4,
1059-9231,Journal of Asia-Pacific Business,IB,,,,,1,1,,01-May,C,,
1049-0078,Journal of Asian Economics,Economics,,,4,,1,1,C,3.0,B,,
0378-4266,Journal of Banking and Finance,F&A,A,,2,P,3,2,A,04-Apr,A*,1,A
2214-8043,Journal of Behavioral and Experimental Economics,Economics,,,3,,2,1,B,02-Feb,A,3,
2214-8043,Journal of Behavioral and Experimental Economics,Economics,B,,,,,,,,A,,
0894-3257,Journal of Behavioral Decision Making,Psychology,B,,3,S,3,1,B,03-Sep,A,2,B
1542-7560,Journal of Behavioral Finance,F&A,B,,,,2,1,C,02-Feb,A,4,
1350-231X,Journal of Brand Management,Marketing,C,,4,S,2,1,B,04-Aug,A,3,B
0735-0015,Journal of Business and Economic Statistics,Economics,,,1,P,4,2,A,05-Sep,A*,1,
0885-8624,Journal of Business and Industrial Marketing,Marketing,C,,3,,2,1,B,04-Apr,A,3,
0889-3268,Journal of Business and Psychology,"OS/OB,HRM/IR",B,,3,,3,1,B,07-Mar,A,3,B
0044-2372,Journal of Business Economics,Gen & Strat,B,,,,2,1,,04-Jan,,,
,,,,,,,,,,,,,
ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
,,,2015,2016,2020,2020,2021,2021,2021,CiteSc ,2022,2022,2023
,,, A+-D,1=Y,  1*-4,P*-S,4*-1,02-Jan,   A-C,2021,A*-C,1*-4, A+-B
0167-4544,Journal of Business Ethics,"OS/OB,HRM/IR",B,1,2,P,3,2,A,9.0,A,1,A
0306-686X,Journal of Business Finance and Accounting,F&A,B,,2,P,3,2,A,03-Mar,A*,2,B
0735-3766,Journal of Business Logistics,"OR,MS,POM",B,,2,S,3,1,A,08-Jun,A,2,B
0148-2963,Journal of Business Research,Marketing,B,,2,S,3,2,A,09-Feb,A,2,B
0275-6668,Journal of Business Strategy,Gen & Strat,C,,4,,1,1,C,01-Sep,B,4,
0883-9026,Journal of Business Venturing,Entrep,A,1,1,P*,4,2,A,13-Mar,A*,1*,A
2352-6734,Journal of Business Venturing Insights,Entrep,,,,,2,1,,04-Apr,A,,B
1051-712X,Journal of Business-to-Business Marketing,Marketing,C,,4,S,2,2,C,01-Sep,B,4,B
1382-6905,Journal of Combinatorial Optimization,"OR,MS,POM",B,,,,2,1,,02-Jan,,,
2405-8513,Journal of Commodity Markets,F&A,,,,,3,,,04-Apr,A,4,
0021-9886,Journal of Common Market Studies,Economics,,,3,S,3,2,B,04-Aug,B,,
0021-9916,Journal of Communication,Comm,B,,,,,2,,09-Feb,A,,
1363-254X,Journal of Communication Management,Comm,,,,,1,1,,03-Feb,B,,
0147-5967,Journal of Comparative Economics,Economics,,,1,,3,1,A,04-Feb,A,,
1061-8600,Journal of Computational and Graphical Statistics,Economics,,,,,3,2,,04-May,A*,,
1460-1559,Journal of Computational Finance,F&A,B,,,,1,1,,01-Aug,C,4,
0887-4417,Journal of Computer Information Systems,"MIS, KM",,,,,2,1,,5.0,A,,
0022-0027,Journal of Conflict Resolution,"OS/OB,HRM/IR",,,,,3,2,,05-Apr,A*,3,A
0022-0078,Journal of Consumer Affairs,Marketing,C,,3,S,2,1,B,02-Jul,A,3,B
1472-0817,Journal of Consumer Behaviour,Marketing,C,,,,2,1,,04-Jan,A,4,
0736-3761,Journal of Consumer Marketing,Marketing,C/D,,4,,1,1,C,02-Aug,A,4,
1057-7408,Journal of Consumer Psychology,Marketing,A,1,1,P*,4*,1,A,05-Aug,A*,1,A
0093-5301,Journal of Consumer Research,Marketing,A+,1,1,P*,4*,2,A,11-Aug,A*,1*,A+
1815-5669,Journal of Contemporary Accounting and Economics,F&A,C,,,,2,1,,03-Jan,A,,
0929-1199,Journal of Corporate Finance,F&A,B,,2,P,4,2,A,04-Sep,A*,1,A
0022-0221,Journal of Cross-Cultural Psychology,Psychology,C,,,,3,2,,04-Mar,A,,
1063-8016,Journal of Database Management,"MIS, KM",,,,,1,2,,02-Apr,A,,
1074-1240,Journal of Derivatives,F&A,B,,3,S,2,1,B,0.7,A,3,B
2212-571X ,Journal of Destination Marketing and Management,Marketing,,,,,1,1,,08-Aug,A,,
0022-037X,Journal of Developing Areas,Economics,,,,,1,2,,,,,
0304-3878,Journal of Development Economics,Economics,,,1,,3,2,A,5.0,A*,,
0022-0388,Journal of Development Studies,Economics,,,2,,3,2,A,03-Feb,A,3,
1066-9868,Journal of East-West Business,IB,,,,,1,1,,01-Jun,C,,
0304-4076,Journal of Econometrics,Economics,,,1,,4,2,A,03-Mar,A*,1,
0167-2681,Journal of Economic Behavior and Organization,Economics,A,,2,S,3,2,A,02-Mar,A*,2,B
0165-1889,Journal of Economic Dynamics and Control,Economics,A,,1,,3,2,A,02-May,A*,2,B
0022-0485,Journal of Economic Education,Education,,,3,,1,1,B,01-May,B,,
1468-2702,Journal of Economic Geography,Economics,,,1,,4,2,A,07-Jan,A,1,
1381-4338,Journal of Economic Growth,Economics,,,1,,3,2,A,04-Sep,A*,1,
0022-0507,Journal of Economic History,Economics,,,1,,3,2,A,04-Jan,A*,,
1569-1721,Journal of Economic Inequality,Economics,,,3,,2,1,B,02-Feb,A,,
0021-3624,Journal of Economic Issues,Economics,,,3,,2,1,B,1.0,B,,
0022-0515,Journal of Economic Literature,Economics,,,1*,,4,1,A,13-Aug,A*,1,
1350-178X,Journal of Economic Methodology,Economics,,,2,,2,1,A,02-May,B,,
0895-3309,Journal of Economic Perspectives,Economics,,,1,,4,1,A,18-Jun,A*,1,
0167-4870,Journal of Economic Psychology,Economics,B,,2,S,2,1,A,03-Apr,A,3,B
2199-6776,Journal of Economic Science Association,Economics,,,,,,,,,A,,
0144-3585,Journal of Economic Studies,Economics,,,,,2,1,,02-Mar,B,,
0950-0804,Journal of Economic Surveys,Economics,,,2,,2,1,A,06-Mar,A,,
0022-0531,Journal of Economic Theory,Economics,,,1,,4,2,A,02-Apr,A*,1,
0148-6195,Journal of Economics and Business,Economics,C,,,,2,1,,03-Jul,B,,
1055-0925,Journal of Economics and Finance,F&A,C,,,,,1,,01-Jan,B,,
1058-6407,Journal of Economics and Management Strategy,Economics,A,,1,P,2,2,A,02-May,A,2,B
0931-8658,Journal of Economics/ Zeitschrift fur Nationalokonomie,Economics,,,3,,2,1,B,01-Sep,B,,
0268-0939,Journal of Education Policy,Education,,,,,2,2,,06-Jan,,,
0022-0671,Journal of Educational Research,Education,,,,,,1,,03-Jan,,,
1938-9027,Journal of Electronic Commerce Research,"MIS, KM",C,,,,1,1,,04-Jan,B,4,
,,,,,,,,,,,,,
ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
,,,2015,2016,2020,2020,2021,2021,2021,CiteSc ,2022,2022,2023
,,, A+-D,1=Y,  1*-4,P*-S,4*-1,02-Jan,   A-C,2021,A*-C,1*-4, A+-B
0927-5398,Journal of Empirical Finance,F&A,B,,3,P,3,2,A,03-Apr,A,2,B
0923-4748,Journal of Engineering and Technology Management - JE,TInnovation,C,,3,S,2,1,B,05-Feb,B,3,B
1741-0398,Journal of Enterprise Information Management,"MIS, KM",C,,4,,2,1,B,06-Jan,A,4,
0095-0696,Journal of Environmental Economics and Management,Economics,B,,1,,3,2,A,07-Aug,A*,1,A
0301-4797,Journal of Environmental Management,Economics,B/C,,3,,3,2,B,09-Aug,A,2,B
1049-6483,Journal of Euromarketing,Marketing,,,,,,1,,,C,,
0391-5115,Journal of European Economic History,Economics,,,4,,1,,C,0.1,B,,
1350-1763,Journal of European Public Policy,PSM,,,,,3,2,,08-Jan,A,,B
0958-9287,Journal of European Social Policy,PSM,,,,,3,2,,04-Apr,,,
0936-9937,Journal of Evolutionary Economics,Economics,,,2,P,2,1,A,03-Jan,A,,
1076-898X,Journal of Experimental Psychology: Applied,Psychology,,,,,4,1,,03-Sep,A,,
0096-3445,Journal of Experimental Psychology: General,Psychology,,,,,4,2,,06-Mar,A*,,
0096-1523,Journal of Experimental Psychology: Human Perception an,dPsychology,,,,,,2,,05-Apr,,,
0278-7393,Journal of Experimental Psychology: Learning Memory and, Psychology,,,,,3,2,,05-Mar,A,,
0022-1031,Journal of Experimental Social Psychology,Psychology,,,,,4,1,,06-Feb,A,,
0022-1082,Journal of Finance,F&A,A+,1,1*,P*,4*,2,A,11-Feb,A*,1*,A+
0022-1090,Journal of Financial and Quantitative Analysis,F&A,A,1,1,P*,4,2,A,05-Mar,A*,1,A
1479-8409,Journal of Financial Econometrics,Economics,B,,3,S,3,1,A,02-Aug,A*,2,B
0304-405X,Journal of Financial Economics,F&A,A+,1,1,P*,4*,2,A,09-Jun,A*,1*,A+
1042-9573,Journal of Financial Intermediation,F&A,A,,2,P,4,2,A,06-Mar,A*,1,A
1386-4181,Journal of Financial Markets,F&A,B,,2,P,3,2,A,3.0,A*,2,A
2380-2154,Journal of Financial Reporting,F&A,,,,,,,,,A,,
0270-2592,Journal of Financial Research,F&A,C,,3,S,3,1,B,01-Feb,A,3,B
0920-8550,Journal of Financial Services Research,F&A,C,,3,S,3,2,B,03-Mar,A,3,B
1572-3089,Journal of Financial Stability,F&A,,,3,,3,1,B,06-Mar,A,3,B
1059-8596,Journal of Fixed Income,F&A,B,,3,S,2,1,B,0.5,A,3,B
0277-6693,Journal of Forecasting,Gen & Strat,B,,3,,2,1,B,3.0,A,3,
0270-7314,Journal of Futures Markets,F&A,B,,3,S,3,1,B,02-Apr,A,3,B
0306-3070,Journal of General Management,Gen & Strat,C,,,,1,1,C,1.0,B,4,
1062-7375,Journal of Global Information Management,"MIS, KM",,,3,,2,1,B,02-Apr,A,3,
1097-198X,Journal of Global Information Technology Management,"MIS, KM",,,,,2,1,,02-Jun,B,,
0891-1762,Journal of Global Marketing,Marketing,C,,,,1,1,,02-Jul,B,,
2049-8799,Journal of Global Mobility,HRM/IR,,,,,2,1,,02-Jun,B,,
0167-6296,Journal of Health Economics,Economics,A,,1,,3,2,A,05-Mar,A*,,A
1047-8310,Journal of High Technology Management Research,Innovation,C,,4,,2,1,C,05-Mar,C,4,
0022-1546,Journal of Higher Education,Education,,,,,2,2,,03-Sep,,,
1096-3758,Journal of Hospitality and Tourism Education,Education,,,,,1,1,,01-Aug,B,,
1447-6770 ,Journal of Hospitality and Tourism Management,Tourism,,,,,1,,,05-Mar,A,4,
1096-3480,Journal of Hospitality and Tourism Research,Tourism,,,,,2,1,,07-Sep,A,4,
1936-8623,Journal of Hospitality Marketing and Management,Tourism,,,,,1,1,,08-May,A,,
1051-1377,Journal of Housing Economics,Economics,,,2,,2,1,A,03-Jan,A,,
1932-8575,Journal of Human Capital,Economics,,,2,,3,1,A,2.0,A,,
0022-166X,Journal of Human Resources,"OS/OB,HRM/IR",B,,1,,3,2,A,05-May,A*,2,A
1088-1980,Journal of Industrial Ecology,Economics,A,,,,2,2,,12-Aug,,,
0022-1821,Journal of Industrial Economics,Economics,A,,1,,3,2,A,01-Jun,A,2,B
0022-1856,Journal of Industrial Relations,"OS/OB,HRM/IR",C,,,,2,1,C,03-May,A,4,B
0165-5515,Journal of Information Science,"MIS, KM",,,,,2,2,,05-Sep,,,
0888-7985,Journal of Information Systems,F&A,C,,,,1,1,,04-Jan,A,4,
1055-3096,Journal of Information Systems Education,Education,,,,,1,1,,2.0,B,,
0268-3962,Journal of Information Technology,"MIS, KM",A,,2,P*,4,2,A,11-Mar,A*,1,A
0932-4569,Journal of Institutional and Theoretical Economics,Economics,B,,2,,2,1,A,01-Jan,A,,
1744-1374,Journal of Institutional Economics,Economics,,,2,,3,1,A,02-Aug,B,,
1094-9968,Journal of Interactive Marketing,Marketing,B,,2,P,3,2,A,11-Apr,A,2,B
1542-6297,Journal of International Accounting Research,F&A,B,,3,S,2,1,B,01-May,A,3,B
1061-9518,"Journal of International Accounting, Auditing and Taxation",F&A,B,,,,3,1,,3.0,B,,
1649-4946,Journal of International Business Education,IB,,,,,2,,,,,,
0047-2506,Journal of International Business Studies,IB,A,1,1,P*,4*,2,A,14-Feb,A*,1*,A+
,,,,,,,,,,,,,
ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
,,,2015,2016,2020,2020,2021,2021,2021,CiteSc ,2022,2022,2023
,,, A+-D,1=Y,  1*-4,P*-S,4*-1,02-Jan,   A-C,2021,A*-C,1*-4, A+-B
0896-1530,Journal of International Consumer Marketing,Marketing,,,,,,1,,02-Apr,B,,
0954-1748,Journal of International Development,Economics,,,3,,2,1,B,02-Jun,B,,
0022-1996,Journal of International Economics,Economics,,,1,,4,2,A,04-Aug,A*,1,
0954-1314,Journal of International Financial Management and Accou,nF&A,C,,,,2,1,,04-Apr,B,,
1042-4431,"Journal of International Financial Markets, Institutions and ",MF&A,C,,3,S,3,1,B,05-Feb,A,3,B
