paper,metric,metric_type,value,lo,hi,rationale,scale_min,scale_max
Barberio et al. 2022,claims_evidence,percentile,77.0,70.0,84.0,"Main claims are clear and supported by simulation calibrated to literature and expert input; drivers explored with sensitivity analyses. However, evidence is model-based with uncertain outbreak/demand parameters and no empirical back-testing or external validation.",0,100
Barberio et al. 2022,methods,percentile,72.0,64.0,79.0,"Appropriate stochastic framework (correlated Bernoulli, outbreak process), biologically motivated correlation metric, manufacturing cost model, clear timelines. But key assumptions (dose needs, prices, cannibalization, phase-3 gating, discount rate) are strong; AMCs/stockpiles modeled only qualitatively.",0,100
Barberio et al. 2022,advancing_knowledge,percentile,84.0,76.0,90.0,"Extends prior vaccine megafund work by modeling outbreak stochasticity and full value chain for mRNA, quantifies price/subsidy thresholds, and highlights clinical trial costs as bottleneck—useful for policy design. Less novel methodologically; doesn’t implement policy instruments within the core model.",0,100
Barberio et al. 2022,logic_communication,percentile,86.0,80.0,92.0,"Goals, assumptions, and parameters are explicit; figures/tables align with narrative; reasoning is coherent and cautious about scope. Minor gaps (e.g., choice of disease X parameters, affordability modeling) but overall very clear.",0,100
Barberio et al. 2022,open_science,percentile,48.0,35.0,60.0,"Parameters and formulas documented with a supplement and literature sources, internal numbers consistent. But no code or data provided; replication would be nontrivial; no preregistration or robustness repository.",0,100
Barberio et al. 2022,global_relevance,percentile,93.0,88.0,97.0,"High practical relevance to pandemic preparedness and financing; provides quantitative thresholds and subsidy estimates that inform AMCs, stockpiles, guarantees. Some real-world factors (equity, procurement heterogeneity) are simplified.",0,100
Barberio et al. 2022,tier_should,tier,3.6,3.0,4.3,Solid applied contribution with clear modeling and policy insight; moderate methodological novelty and reliance on assumptions; limited openness. Fits strong field or marginal top field journals in health policy/OR/finance.,0,5
Barberio et al. 2022,tier_will,tier,3.4,2.8,4.1,"Given cross-disciplinary scope and modeling nature, likely in a strong field journal; A-journal possible but less likely without code/empirical validation.",0,5
Barker et al. 2021,overall,percentile,86.0,78.0,92.0,"Large, well-executed RCT of lay-delivered CBT in rural Ghana. Strong short-term impacts on mental/physical health and socioemotional skills; thoughtful RI-based inference and HTE. Clear framing and discussion of alternatives. Limits: reliance on self-reports, short horizon, modest cognitive/economic effects, limited cost-effectiveness and objective outcomes.",0,100
Barker et al. 2021,claims_evidence,percentile,82.0,74.0,89.0,"Main claims (short-run effects; two channels) are well stated and supported: significant indices, HTE by predicted distress for health; bandwidth gains broadly. Authors acknowledge time horizon. Weaknesses: mostly self-reported outcomes, small cognitive effects, limited objective economic measures; demand effects and social desirability cannot be ruled out.",0,100
Barker et al. 2021,methods,percentile,84.0,76.0,90.0,"Credible multi-stage RCT; rerandomization with transparent balance checks; randomization inference; indices to address multiplicity; cross-validated LASSO with holdout for HTE. Large sample and power. Limits: self-report bias, no blinding, short follow-up, many outcomes, unclear preregistration; objective outcomes scarce.",0,100
Barker et al. 2021,advancing_knowledge,percentile,80.0,70.0,88.0,"Shifts therapy from targeted clinical use to general human capital strategy among the poor; operationalizes ‘vulnerability’ via predictive HTE; demonstrates scalable lay delivery. Useful to policy and program design. However, lack of long-run outcomes and cost-effectiveness curbs immediate implementation guidance; external validity still uncertain.",0,100
Barker et al. 2021,logic_communication,percentile,85.0,78.0,92.0,"Goals and mechanisms clearly articulated; links to scarcity/bandwidth theory; transparent assumptions; thorough tables and appendices; consistent conclusions. Some complexity in randomization and RI may challenge non-experts; bandwidth construct could be operationalized further, but overall reasoning is clear and balanced.",0,100
Barker et al. 2021,open_science,percentile,62.0,50.0,72.0,"Methods, instruments, and ethics are well documented; intervention manual available. However, code/data availability is unclear; replication would be nontrivial given complex RI and sampling weights. More open materials (analysis code, deidentified data, pre-analysis plan) would substantially improve reproducibility.",0,100
Barker et al. 2021,global_relevance,percentile,88.0,80.0,94.0,Highly relevant to global priorities: scalable therapy for the poor with promising human capital effects. Actionable insights for delivery by non-specialists. Limits: no long-run follow-up yet and limited cost data restrain prioritization and budgeting; contextual factors may affect generalizability.,0,100
Barker et al. 2021,tier_should,tier,3.7,3.2,4.2,"Merits publication in a strong field journal; potentially marginal A with longer-term or more objective outcomes. Strong design and policy relevance, but short horizon and self-reported outcomes temper fit for top-tier general outlets.",0,5
Barker et al. 2021,tier_will,tier,3.5,3.0,4.0,Likely to place in a strong development/applied econ field journal; could reach marginal A if complemented by longer-run or objective impacts. Some uncertainty due to reliance on self-reports and lack of cost-effectiveness at this stage.,0,5
Benabou et al. 2023,overall,percentile,86.0,80.0,91.0,"Ambitious, well-executed multi-game experimental study introducing an EVM paradigm. Preregistered, careful attention/comprehension checks, aligned robustness, clear findings (context-dependent EVM, SVO consistency, trolley non-predictive). Limits: student/online sample, correlational analysis, unclear data/code.",0,100
Benabou et al. 2023,claims_evidence,percentile,88.0,83.0,93.0,"Core claims (prevalence of deontological choices; weak cross-task consistency; trolley weak predictor; SVO stability; questionnaires limited) are explicit and supported by within-subject design (12 tasks, N≈548), preregistration, aligned variants, comprehension/memory checks, and appropriate stats.",0,100
Benabou et al. 2023,methods,percentile,84.0,78.0,90.0,"Design is appropriate and transparent: randomization, incentives incl. real-stakes SAL, preregistered tests, attention/comprehension checks, correlations/PCA. Caveats: convenience student sample; dichotomous EVM outcomes; multiple testing mostly descriptive; mechanisms not structurally modeled.",0,100
Benabou et al. 2023,advancing_knowledge,percentile,85.0,78.0,90.0,Introduces flexible EVM tasks beyond trolley and shows EVM choices are context-dependent while SVO preferences are consistent. Important for behavioral ethics and AI/AV ethics. Less direct policy quantification; external validity and cultural generalizability remain open.,0,100
Benabou et al. 2023,logic_communication,percentile,88.0,82.0,93.0,Questions and constructs are clear; tasks and treatments well-documented; figures/tables align; conclusions match evidence and note limits. Minor issues: length/density; limited reporting of effect sizes/multiplicity adjustments.,0,100
Benabou et al. 2023,open_science,percentile,74.0,60.0,85.0,"Strong on transparency: preregistration, ethics approvals, detailed procedures, aligned replications. Data/code availability not explicit here; replicability would benefit from open materials and analysis code.",0,100
Benabou et al. 2023,global_relevance,percentile,66.0,55.0,75.0,"Relevance for AI/AV ethics, policy evaluation of moral tradeoffs, and design of experiments/surveys. Limited immediate practitioner guidance or cost–benefit quantification; sample mainly Western students reduces direct global applicability.",0,100
Benabou et al. 2023,tier_should,tier,4.2,3.6,4.7,"Rigor, novelty, and broad interest justify top field or marginal A placement in behavioral/experimental econ or interdisciplinary outlets. Slight limits: external validity and mainly descriptive mechanisms.",0,5
Benabou et al. 2023,tier_will,tier,4.0,3.2,4.5,Likely to publish in a strong field or marginal A journal given design quality and interest across econ/psych; A-journal possible but uncertain due to external validity and descriptive focus.,0,5
Benjamin et al. 2023,overall,percentile,92.0,88.0,96.0,"Innovative framework to measure/adjust scale-use heterogeneity with clear theory (shifter/stretcher), multiple estimators, simulations, and validations. Empirical applications illuminate when adjustments matter. Limits: MTurk sample, assumption set (linearity, independence), and reliance on well-designed CQs. Still, substantial rigor and likely field impact.",0,100
Benjamin et al. 2023,claims_evidence,percentile,87.0,82.0,92.0,"Main claims are tightly scoped, assumptions explicit, and supported by derivations, simulations, and multiple empirical checks (including validation versus objective measures). They discuss threats (vignette biases, height dependence) and show when adjustments change results. External validity beyond MTurk is noted but limited.",0,100
Benjamin et al. 2023,methods,percentile,90.0,86.0,95.0,"Strong econometric development (linear translation, MOM, semi-parametric, comprehensive MLE), bias decompositions, finite-sample simulations, and persistence analysis. Assumptions are justified and tested where possible; tradeoffs are transparent. Some dependence on parametric choices and independence assumptions remains.",0,100
Benjamin et al. 2023,advancing_knowledge,percentile,84.0,77.0,90.0,"Bridges SWB, psychometrics, and econometrics; provides practical tools to correct a known confound. Impacts estimation of means, variances, regressions, and factor structures; reframes SWB inequality and policy-relevant inferences. Value is high even with non-representative data, as methods generalize.",0,100
Benjamin et al. 2023,logic_communication,percentile,90.0,86.0,94.0,"Clear articulation of goals, concepts, assumptions, and implications. Logical flow from theory to estimators to applications. Figures/tables aid interpretation; height dependence insight is well-motivated. Lengthy, but reasoning is transparent and caveats are candid.",0,100
Benjamin et al. 2023,open_science,percentile,72.0,58.0,85.0,Pre-registration and extensive appendices strengthen credibility. Assumptions and procedures are specified enough for replication in principle. Unclear if full code and de-identified data are openly available; HPC mention suggests complex pipelines. Openness above average but not exemplary.,0,100
Benjamin et al. 2023,global_relevance,percentile,78.0,70.0,86.0,SWB is central to policy and global priorities; uncorrected scale use can mislead inequality and welfare analyses. Methods are applicable to surveys and experiments; guidance for practitioners is actionable. External validity limits from MTurk and CQ design choices slightly temper immediate policy uptake.,0,100
Benjamin et al. 2023,tier_should,tier,4.5,4.0,5.0,"Conceptually strong and methodologically rigorous with broad applicability to SWB and survey measurement. Merits a top field to A-journal given novelty, careful theory, and convincing applications, despite sample limitations and reliance on assumptions for identification.",0,5
Benjamin et al. 2023,tier_will,tier,4.3,3.7,4.8,"Likely to place in a top field or marginal A-journal. Strong methods and clear contributions; some editors may flag MTurk sample and assumption reliance, but impact on SWB practice is significant, supporting high-tier publication prospects.",0,5
Bergeron et al. 2024,overall,percentile,88.0,82.0,93.0,"Ambitious blend of evolutionary theory and broad empirics. Clear, testable predictions borne out in DRC and WVS with multiple validations and robustness checks. Limits: largely associative identification, perception-based measures, and some speculative historical extrapolation. Still a substantial, coherent contribution.",0,100
Bergeron et al. 2024,claims_evidence,percentile,78.0,70.0,86.0,"Claims are precise and mostly matched by evidence across two DRC samples and large WVS. Validations (vignettes, rainfall/GDP growth, clustering, RI p-values) strengthen credibility. But designs are observational, with potential endogeneity, reverse causality, and multiple testing concerns; sigma/alpha measured imperfectly.",0,100
Bergeron et al. 2024,methods,percentile,80.0,72.0,88.0,"Formal evolutionary model with clean derivations and comparative statics; sensible extensions. Empirics use PCA indices, FE, clustering, RI, and within-‘alpha’ deciles. However, no causal design/IV; perceptions proxy for α; σ measure indirect; limited correction for multiplicity; structural calibration absent.",0,100
Bergeron et al. 2024,advancing_knowledge,percentile,86.0,80.0,92.0,"Introduces and formalizes ‘demotivating beliefs’ linked to zero-sum environments; predicts welfare–well-being divergence; connects to innovation barriers. Bridges cultural evolution and development with consistent cross-context evidence. Actionable levers are less developed, but conceptual advance is substantial.",0,100
Bergeron et al. 2024,logic_communication,percentile,90.0,85.0,95.0,"Clear goals, definitions, and transparent assumptions. Predictions summarized; proofs supplied; variable construction well-documented; many informative figures and robustness checks. Historical discussion is flagged as suggestive. Writing is coherent and easy to follow.",0,100
Bergeron et al. 2024,open_science,percentile,62.0,45.0,75.0,"Surveys, instruments, and construction details provided; WVS/CRU/GDP sources are public. However, no explicit replication package or code link; DRC microdata availability unclear. Reproducibility plausible but not guaranteed without code/data release.",0,100
Bergeron et al. 2024,global_relevance,percentile,82.0,72.0,90.0,"Highly relevant to development, social cohesion, and policy framing of competition/zero-sum thinking; links beliefs to welfare and well-being. Offers quantitative proxies and broad evidence. Practical policy guidance is indirect and causal levers are not pinned down.",0,100
Bergeron et al. 2024,tier_should,tier,4.3,3.7,4.8,"Strong theory plus broad, careful empirics with novel cross-walk between micro beliefs and macro outcomes. Identification limits likely preclude top-5, but merits top field or marginal A outlet based on rigor, breadth, and contribution.",0,5
Bergeron et al. 2024,tier_will,tier,4.0,3.3,4.6,Likely to publish in a top field or marginal A journal given breadth and interest; observational identification may deter the very top general journals but still attractive to strong field outlets.,0,5
Bettle 2023,overall,percentile,78.0,70.0,86.0,"Clear, practical framework linking internal (Type M/S) and external validity to CEA discounts. Well-grounded in literature and offers actionable steps and examples. Novelty is moderate and empirical validation is limited; relies on synthesis and heuristics rather than new analyses.",0,100
Bettle 2023,claims_evidence,percentile,74.0,65.0,85.0,"Questions and claims are explicit; evidence draws on credible replication/heterogeneity literature. Provides quantitative rules-of-thumb (Type M 50–60%, rare Type S, ~99% heterogeneity). Limited original estimation, some dependence on preprints/judgment, and no formal meta-analysis.",0,100
Bettle 2023,methods,percentile,76.0,68.0,84.0,"Approach is reasonable: emphasize power, publication bias, retrodesign, and mechanistic external validity. Assumptions are stated and guidance is operational. However, no preregistered review protocol, limited robustness checks, and several heuristic steps remain subjective.",0,100
Bettle 2023,advancing_knowledge,percentile,75.0,66.0,84.0,"Useful standardization for CEAs, likely to improve practice and reduce overestimation. Value concentrated in applied decision-making for global dev/EA. Less contribution to academic theory; limited new empirical results or tools.",0,100
Bettle 2023,logic_communication,percentile,84.0,78.0,90.0,"Very clear structure and goals; key concepts defined; reasoning transparent with figures and a worked example. Conclusions align with cited evidence. Minor areas rely on heuristics without full quant justification, but overall communication is strong.",0,100
Bettle 2023,open_science,percentile,60.0,50.0,70.0,"Synthesis piece with references and some pointers to tools. No replication package, datasets, or code; the proposed discount library/tools are not fully provided. Internal consistency is good; reproducibility of recommendations could be improved with open calculators/templates.",0,100
Bettle 2023,global_relevance,percentile,80.0,72.0,88.0,"Directly addresses how to translate RCT evidence into CEAs for global health/development. Emphasizes external validity, scale-up, and uncertainty; provides quantifiable guidance that practitioners can use in prioritization and policy.",0,100
Bettle 2023,tier_should,tier,3.2,2.6,3.8,Strong applied methodological guide suitable for evaluation/evidence-use journals or top field outlets focused on development policy/practice. Not A-journal novelty but substantial practical value and clarity justify top B/strong field placement.,0,5
Bettle 2023,tier_will,tier,2.7,2.0,3.4,"As a practitioner-oriented report, more likely to land in a decent field/policy-evaluation journal or remain as an institutional report. If submitted, odds favor marginal-to-strong field journals over top field/A-journals.",0,5
Bhat et al. 2022,overall,percentile,92.0,87.0,96.0,"Compelling long-run follow-up of two psychotherapy RCTs in India. Strong, transparent analyses (pre-registration, ITT, DML, multiple-testing control), innovative belief-updating tasks, and clear policy relevance with cost-effectiveness. Limits: attrition (balanced), one trial null on MH, limited power for some econ outcomes, external validity.",0,100
Bhat et al. 2022,claims_evidence,percentile,90.0,84.0,95.0,"Main claims are clear and matched to evidence: sustained depression reductions (HAP), mechanisms via beliefs, null economic outcomes. Balanced attrition; preregistered; FDR corrections; robustness checks; incentivized measures. Some reliance on self-reports; preference/economic outcomes less powered; THPP null limits generalization.",0,100
Bhat et al. 2022,methods,percentile,88.0,82.0,93.0,"Sound RCT follow-up; careful measurement; DML controls; structural belief-updating model; mediation; expert-forecast benchmarking; multiple robustness and FDR. Assumptions reasonable. Limitations: underpowered for some labor/consumption outcomes, possible measurement error/comprehension in tasks, one trial with high spontaneous remission.",0,100
Bhat et al. 2022,advancing_knowledge,percentile,92.0,86.0,96.0,"Rare long-run evidence on psychotherapy in LMICs; quantifies persistence and cost-effectiveness; novel behavioral insights on self-confidence/updating; updates expert priors; clarifies limited labor-market spillovers, guiding integration with economic interventions.",0,100
Bhat et al. 2022,logic_communication,percentile,90.0,84.0,95.0,Goals and concepts are clear; assumptions and analysis pathways explicit; tables/figures well-integrated; limitations and alternative explanations discussed. Dense in places but arguments remain coherent and consistent with evidence.,0,100
Bhat et al. 2022,open_science,percentile,74.0,60.0,85.0,"Pre-registered; detailed protocols, appendices, and task descriptions; expert forecasts shared. However, public code/data availability is unclear; full computational reproducibility may be limited without additional materials.",0,100
Bhat et al. 2022,global_relevance,percentile,93.0,88.0,97.0,"Directly relevant to global mental health and poverty policy in LMICs. Provides credible cost-effectiveness (depression-months averted/$), practical insights on beliefs/demand, and realistic take on economic outcomes, informing program design and scale-up.",0,100
Bhat et al. 2022,tier_should,tier,4.6,4.2,4.9,"Merits top field or marginal A-journal: rigorous RCT evidence with long-run follow-up, novel behavioral mechanisms, strong policy relevance and cost-effectiveness. Minor limits (power for econ outcomes, one trial null) slightly temper general-interest reach.",0,5
Bhat et al. 2022,tier_will,tier,4.4,3.8,4.8,"Likely to place in a strong top field or marginal A-journal in development/health/behavioral econ. The null on economic outcomes may reduce general-interest odds, but methodological strength and policy relevance support high-tier publication.",0,5
Bhattacharya and Packalen 2020,overall,percentile,74.0,65.0,82.0,"Persuasive, policy-relevant synthesis linking incentive metrics to exploration. Clear framework and concrete proposals (edge/novelty metrics). Limited new empirical identification within this paper tempers confidence, but contribution to debate is substantive.",0,100
Bhattacharya and Packalen 2020,claims_evidence,percentile,61.0,50.0,70.0,"Main claims are clearly stated; supportive literature and one descriptive analysis (novelty vs. citations) are presented. However, causal links from citation-focused incentives to stagnation are argued rather than demonstrated here; reliance on prior work limits evidential strength.",0,100
Bhattacharya and Packalen 2020,methods,percentile,57.0,47.0,67.0,"Simple lifecycle model is reasonable; text-based novelty measurement approach is outlined with awareness of pitfalls (synonyms, gaming). Yet this paper provides little new operational detail, validation, or robustness checks; bias mitigation and alternative explanations are not rigorously tested.",0,100
Bhattacharya and Packalen 2020,advancing_knowledge,percentile,73.0,62.0,83.0,Shifts focus from impact-only metrics to a balanced impact/novelty evaluation; offers implementable changes for funders and platforms. Adds value for science policy and incentive design despite modest methodological innovation within the paper.,0,100
Bhattacharya and Packalen 2020,logic_communication,percentile,81.0,73.0,88.0,"Well-organized narrative, explicit assumptions, helpful figures, and clear definitions. Reasoning is mostly transparent; acknowledges limitations. Occasional overreach in attributing stagnation causally to citations without full identification.",0,100
Bhattacharya and Packalen 2020,open_science,percentile,40.0,28.0,55.0,"Methods are described conceptually but not to replication-ready detail; no code/data are provided for the empirical illustration. Prior datasets and tools are referenced, but reproducibility from this paper alone is limited.",0,100
Bhattacharya and Packalen 2020,global_relevance,percentile,84.0,74.0,92.0,"Topic directly impacts global science productivity and innovation policy. Recommendations are actionable for funders, universities, and platforms. While quantitative policy tradeoffs are not fully estimated, practical relevance is high.",0,100
Bhattacharya and Packalen 2020,tier_should,tier,3.8,3.3,4.3,"Strong, timely contribution to science-of-science and policy discourse, suitable for a top field journal. Lack of rigorous new empirical identification and limited replication materials likely preclude an A-journal but merit high field placement.",0,5
Bhattacharya and Packalen 2020,tier_will,tier,3.4,2.8,4.0,"As a conceptually driven, policy-oriented piece with limited new empirical work, it is most likely to publish in a strong field journal; with careful framing, a top field outlet is plausible but less certain.",0,5
Bilal and Kaenzig 2024,overall,percentile,95.0,90.0,98.0,"Innovative time-series design on global temperature with extensive robustness, strong panel corroboration, and structural mapping to welfare/SCC. Clear logic and large policy relevance. Residual concerns: small T sample, remaining identification risks, linearity, and aggregation choices. Still, quality and potential impact are exceptional.",0,100
Bilal and Kaenzig 2024,claims_evidence,percentile,90.0,85.0,95.0,"Main questions are explicit; shocks defined; impulse responses sizable and persistent; many robustness checks (controls, alternative filters, subsamples, Granger tests, spillovers, extremes). Structural translation and sensitivity are transparent. Causality still hinges on orthogonality and controls; limited sample leaves tail risks.",0,100
Bilal and Kaenzig 2024,methods,percentile,88.0,80.0,93.0,"Local projections with Hamilton-filtered shocks, Driscoll–Kraay SEs, rich controls, reverse-causality adjustment, and panel validation are appropriate. Structural estimation via sequence-space inversion is elegant and conservative. Limitations: short global series, linearity, expectations treatment, and potential omitted global confounders.",0,100
Bilal and Kaenzig 2024,advancing_knowledge,percentile,97.0,93.0,99.0,"Reorients climate–macro from local to global temperature, links to extremes, reconciles gaps, and provides macro-consistent damage functions and SCC/DCC with policy implications. High likelihood of shaping subsequent research and policy modeling.",0,100
Bilal and Kaenzig 2024,logic_communication,percentile,92.0,85.0,96.0,"Clear framing, definitions, and transparent reasoning. Figures and appendices support claims; assumptions and limitations are stated; sensitivity is broad. Some technical density may challenge non-specialists, but argument flow is coherent.",0,100
Bilal and Kaenzig 2024,open_science,percentile,74.0,60.0,85.0,"Relies on public datasets; construction steps, filters, and estimation procedures are detailed; numerous robustness checks. However, no explicit code/data replication package is evident here; some replication burden remains.",0,100
Bilal and Kaenzig 2024,global_relevance,percentile,98.0,94.0,100.0,"Directly informs SCC, welfare losses, and policy cost-effectiveness under plausible warming. Highly actionable for governments and international bodies; communicates headline magnitudes accessibly while noting caveats.",0,100
Bilal and Kaenzig 2024,tier_should,tier,4.8,4.3,5.0,"Merits top general-interest or top field outlet: novel identification (global temperature shocks), strong robustness, and impactful structural implications. Remaining debates on identification/magnitude do not outweigh contribution.",0,5
Bilal and Kaenzig 2024,tier_will,tier,4.6,3.8,5.0,"High chance of A or top field publication given novelty, rigor, and policy salience. Controversy and small T-sample may lengthen review or shift to top field, but outlook remains very strong.",0,5
Blimpo and Castaneda-Dower 2025,overall,percentile,78.0,65.0,88.0,"Well-executed RCT with clear balance, robust ITT and IV results, and a coherent mechanism linking civic info to sorting in tax participation. Strong policy relevance. Limits: modest sample, single-city context, measurement noise (revenue, missing tax receipts), some marginal p-values, and limited open-science practices.",0,100
Blimpo and Castaneda-Dower 2025,claims_evidence,percentile,75.0,60.0,85.0,"Main claims are clearly stated and largely supported: info improved knowledge, reduced extensive participation, increased activity and revenues via composition. Heterogeneity, qualitative follow-ups, and a simple model triangulate. Weaknesses: many missing tax amounts, zero imputation, some effects borderline without controls.",0,100
Blimpo and Castaneda-Dower 2025,methods,percentile,72.0,55.0,85.0,"Sampling frame reasonable, randomization balanced, ANCOVA and IV appropriate, robustness with controls; model rationalizes findings. Concerns: modest N, self-reported revenue proxies, partial outcome verification, potential spillovers not tightly bounded, no pre-analysis plan, single site.",0,100
Blimpo and Castaneda-Dower 2025,advancing_knowledge,percentile,80.0,65.0,90.0,"Provides novel and policy-relevant insight: civic information can empower informal firms, shift compliance composition, increase activity and taxable revenue without widening the base. Adds to tax mobilization and state capacity literature focused on MIEs. Useful for intervention design.",0,100
Blimpo and Castaneda-Dower 2025,logic_communication,percentile,80.0,70.0,90.0,"Questions, theory, and empirical results are laid out clearly. Assumptions are stated; alternative explanations considered. Tables and figures support the narrative. Some exploratory analyses risk over-interpretation, but overall reasoning is coherent and consistent with evidence.",0,100
Blimpo and Castaneda-Dower 2025,open_science,percentile,40.0,25.0,60.0,"Procedures are described in useful detail, but no pre-registration, data, or code availability is indicated. Several measures rely on constructed variables; replicability would benefit from shared materials. Internal consistency appears good.",0,100
Blimpo and Castaneda-Dower 2025,global_relevance,percentile,85.0,70.0,95.0,"Highly relevant to LMIC tax policy, informality, and state capacity. Offers actionable insights on taxpayer education and targeting. External validity may be limited by single-city context, but mechanisms likely travel across similar settings.",0,100
Blimpo and Castaneda-Dower 2025,tier_should,tier,3.8,3.2,4.4,"Merits publication in a strong field or marginal top field journal: solid RCT, novel mechanism, and policy salience. Constraints (measurement gaps, modest N, single context, limited open science) likely keep it below top general journals.",0,5
Blimpo and Castaneda-Dower 2025,tier_will,tier,3.4,2.8,4.0,"Likely outcome is a top B/strong field or possibly top field development/public finance outlet. Interest and novelty are strong, but data limitations and scope may deter A-journal acceptance.",0,5
Bruers 2021,overall,percentile,54.0,42.0,65.0,"Novel attempt to monetize animal-welfare externalities with a clear theory and sensitivity checks; however, reliance on highly hypothetical scenarios, small effective samples, extreme skew/outliers, and ad hoc exclusions limit credibility and precision. Some policy extrapolations outrun the evidence.",0,100
Bruers 2021,claims_evidence,percentile,48.0,35.0,58.0,"Main questions are explicit; results show consistent sign patterns. Yet evidence is hypothetical with large WTA–WTP gaps, selection and outlier issues, and weak power. Authors note limits, but claims about tax design and magnitudes exceed what the data can firmly support.",0,100
Bruers 2021,methods,percentile,37.0,25.0,48.0,"Imaginative CV design but vulnerable to transformative-experience and hypothetical bias. High attrition, arbitrary outlier handling, and mixing Belgian valuations with US market data weaken validity. Nonparametric tests are appropriate; robustness limited.",0,100
Bruers 2021,advancing_knowledge,percentile,62.0,50.0,75.0,"Provides rare quantitative estimates of animal-welfare costs and highlights misalignment with consumer WTP and climate taxes. Offers decision-relevant orders of magnitude and frames future research, despite low precision and contested methodology.",0,100
Bruers 2021,logic_communication,percentile,64.0,52.0,76.0,"Clear framing, transparent assumptions, and extensive caveats. Tables are readable. Some leaps (survey-to-kg costs, cross-context extrapolations) and exclusion thresholds could be better justified; conclusions should be hedged more.",0,100
Bruers 2021,open_science,percentile,30.0,15.0,45.0,Methods described but no public data/code indicated. Questionnaire not fully reproduced; outlier and weighting choices only partly specified. Independent reproduction would be difficult.,0,100
Bruers 2021,global_relevance,percentile,70.0,58.0,82.0,"Directly relevant to animal welfare prioritization and meat taxation. Provides per-kg ranges and policy implications. External validity is uncertain, but the questions and comparisons are practically important for policymakers and advocates.",0,100
Bruers 2021,tier_should,tier,2.3,1.6,3.0,"Thought-provoking with important topic and insights, but methodological weaknesses (hypothetical bias, attrition, outliers) limit reliability. Suits a decent field journal after strengthening robustness and transparency rather than a top outlet.",0,5
Bruers 2021,tier_will,tier,1.9,1.2,2.6,"Given contentious methods and extrapolations, more likely to land in a marginal-to-solid field journal in environmental/animal-welfare economics or interdisciplinary policy venues than in top field journals.",0,5
Buntaine et al. 2023,overall,percentile,94.0,89.0,97.0,"Nationwide RCT leveraging real-time emissions data; strong identification; mechanism test via visibility; GE design; multiple outcomes including ambient pollution. Results are large and policy-relevant. Limits: 8-month horizon, concentration focus, administrative data access, some mechanism inference remains suggestive.",0,100
Buntaine et al. 2023,claims_evidence,percentile,92.0,88.0,96.0,"Main claims are precise and supported by firm-level ITT, event studies, heterogeneity, and ambient outcomes. Mechanism evidenced by randomized boosts in social media visibility and regulator responses; alternative channels probed. Some mechanisms cannot be fully ruled in/out.",0,100
Buntaine et al. 2023,methods,percentile,92.0,88.0,96.0,"Thoughtful multi-arm firm-level randomization plus cross-randomized intensity; appropriate FE, two-way clustering; balance checks; verification of violations; IV robustness. Concerns: short window, manual screening may introduce judgment, limited pre-spec detail visible.",0,100
Buntaine et al. 2023,advancing_knowledge,percentile,93.0,88.0,97.0,"Rare, large-scale experimental evidence on citizen participation and social media in environmental enforcement, including GE effects. Offers actionable insights for governance and regulation design; quantifies sizable impacts. High relevance beyond the specific context.",0,100
Buntaine et al. 2023,logic_communication,percentile,90.0,85.0,95.0,"Clear set-up, definitions, and reasoning; consistent tables/figures; limitations noted. Narrative links claims to evidence transparently. Minor areas could be tighter (e.g., discussion of concentration vs emissions, selection in violation verification).",0,100
Buntaine et al. 2023,open_science,percentile,65.0,55.0,75.0,"RCT registered; data appendix and methodological detail. However, core administrative datasets likely restricted; unclear if replication code and full data are public. Replicability feasible in method but constrained by access.",0,100
Buntaine et al. 2023,global_relevance,percentile,92.0,86.0,96.0,Directly informs design of complaint and social media mechanisms for environmental governance with large welfare stakes. Quantifies effects and hints at cost-effectiveness. Lessons generalize to other regulatory contexts.,0,100
Buntaine et al. 2023,tier_should,tier,4.6,3.8,5.0,"Innovative national-scale RCT with GE analysis, strong causal evidence, and clear policy relevance. Merits top field or marginal A placement on content and rigor.",0,5
Buntaine et al. 2023,tier_will,tier,4.3,3.5,4.8,"Likely to place in a top field or marginal A venue. High quality and impact, though topic specialization and data access constraints may reduce A-journal odds.",0,5
Carson et al. 2023,overall,percentile,81.0,74.0,88.0,"Rigorous discrete choice experiments with active biomedical scientists; strong econometric modeling and robustness; thoughtful heterogeneity and budget tests; clear policy implications. Limits: hypothetical choices, 9% response rate, external validity to real funding outcomes, and selection concerns.",0,100
Carson et al. 2023,claims_evidence,percentile,82.0,75.0,88.0,"Claims are clear and tightly linked to evidence. Randomized score distributions, best–worst ranking, fixed-effects conditional logit, MNL/G-MNL checks, and placebo strengthen inference. External applications illustrate stakes. No causal link to downstream scientific impact; sample selection risk.",0,100
Carson et al. 2023,methods,percentile,78.0,70.0,85.0,"Well-justified DCE/BIBD, transparent modeling, clustered SEs, fixed effects, heterogeneity via MeSH, placebo via hover, and sensitivity checks. Weaknesses: hypothetical/stated preference, low response rate, potential nonresponse bias, scale heterogeneity, proxy measurement of expertise.",0,100
Carson et al. 2023,advancing_knowledge,percentile,77.0,68.0,85.0,"Advances science-of-science by quantifying preference for dissensus, expert tolerance, and budget effects; provides actionable guidance (incorporate variance, tie-breaking). Contribution is policy-relevant but indirect—no measured impact on actual scientific outcomes; field scope is biomedical.",0,100
