research,criteria,publication_status,main_cause_cat,evaluator,anonymous,middle_rating,lower_ci,upper_ci,confidence_level,checked_against_source,notes_on_check_against_source,evaluator_comment,eval_weight_not_used_yet,cause_areas,journal_publication_title,publication_date_unjournal,row_created_date,.rowid,doi_key,arxiv_key,title_key,first_author,year_key,uj_map_key
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,open_sci,Published,~top journal,The Environment: Harm to human health,biodiversity,risks and climate change,Robert Kubinec,false,70,60,80,NA,false,NA,NA,NA,"Environment, biodiversity, climate,American Economic Review,2023-08-09,6/7/2024 4:40:59 PM",202,NA,NA,NA,NA,NA,NA
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,merits_journal,Published,~top journal,The Environment: Harm to human health,biodiversity,risks and climate change,Robert Kubinec,false,4.8,4.5,5,NA,false,NA,NA,NA,"Environment, biodiversity, climate,American Economic Review,2023-08-09,6/7/2024 4:40:59 PM",203,NA,NA,NA,NA,NA,NA
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,overall,Published,~top journal,The Environment: Harm to human health,biodiversity,risks and climate change,Robert Kubinec,false,90,85,95,NA,false,NA,NA,NA,"Environment, biodiversity, climate,American Economic Review,2023-08-09,6/7/2024 4:40:59 PM",204,NA,NA,NA,NA,NA,NA
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,adv_knowledge,Published,~top journal,The Environment: Harm to human health,biodiversity,risks and climate change,Anonymous_10,true,76,68,83,NA,false,NA,NA,NA,"Environment, biodiversity, climate,American Economic Review,2023-08-09,6/7/2024 4:40:59 PM",205,NA,NA,NA,NA,NA,NA
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,methods,Published,~top journal,The Environment: Harm to human health,biodiversity,risks and climate change,Anonymous_10,true,72,63,81,NA,false,NA,NA,NA,"Environment, biodiversity, climate,American Economic Review,2023-08-09,6/7/2024 4:40:59 PM",206,NA,NA,NA,NA,NA,NA
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,logic_comms,Published,~top journal,The Environment: Harm to human health,biodiversity,risks and climate change,Anonymous_10,true,67,62,78,NA,false,NA,NA,NA,"Environment, biodiversity, climate,American Economic Review,2023-08-09,6/7/2024 4:40:59 PM",207,NA,NA,NA,NA,NA,NA
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,real_world,Published,~top journal,The Environment: Harm to human health,biodiversity,risks and climate change,Anonymous_10,true,91,78,94,NA,false,NA,NA,NA,"Environment, biodiversity, climate,American Economic Review,2023-08-09,6/7/2024 4:40:59 PM",208,NA,NA,NA,NA,NA,NA
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,gp_relevance,Published,~top journal,The Environment: Harm to human health,biodiversity,risks and climate change,Anonymous_10,true,92,82,95,NA,false,NA,NA,NA,"Environment, biodiversity, climate,American Economic Review,2023-08-09,6/7/2024 4:40:59 PM",209,NA,NA,NA,NA,NA,NA
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,journal_predict,Published,~top journal,The Environment: Harm to human health,biodiversity,risks and climate change,Anonymous_10,true,4.6,3.5,5,NA,false,NA,NA,NA,"Environment, biodiversity, climate,American Economic Review,2023-08-09,6/7/2024 4:40:59 PM",210,NA,NA,NA,NA,NA,NA
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,open_sci,Published,~top journal,The Environment: Harm to human health,biodiversity,risks and climate change,Anonymous_10,true,48,42,68,NA,false,NA,NA,NA,"Environment, biodiversity, climate,American Economic Review,2023-08-09,6/7/2024 4:40:59 PM",211,NA,NA,NA,NA,NA,NA
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,merits_journal,Published,~top journal,The Environment: Harm to human health,biodiversity,risks and climate change,Anonymous_10,true,4.3,3.7,4.8,NA,false,NA,NA,NA,"Environment, biodiversity, climate,American Economic Review,2023-08-09,6/7/2024 4:40:59 PM",212,NA,NA,NA,NA,NA,NA
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,overall,Published,~top journal,The Environment: Harm to human health,biodiversity,risks and climate change,Anonymous_10,true,80,71,86,NA,false,NA,NA,NA,"Environment, biodiversity, climate,American Economic Review,2023-08-09,6/7/2024 4:40:59 PM",213,NA,NA,NA,NA,NA,NA
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,76,64,85,NA,false,NA,NA,NA,Global health (LMICs),WP,2024-07-16,8/15/2024 1:16:54 PM,214,NA,NA,NA,NA,NA,NA
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,methods,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,77,70,83,NA,false,NA,NA,NA,Global health (LMICs),WP,2024-07-16,8/15/2024 1:18:24 PM,215,NA,NA,NA,NA,NA,NA
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,91,81,100,NA,false,NA,NA,NA,Global health (LMICs),WP,2024-07-16,8/15/2024 1:18:28 PM,216,NA,NA,NA,NA,NA,NA
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,96,92,100,NA,false,NA,NA,NA,Global health (LMICs),WP,2024-07-16,8/15/2024 1:18:28 PM,217,NA,NA,NA,NA,NA,NA
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,real_world,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,95,90,100,NA,false,NA,NA,NA,Global health (LMICs),WP,2024-07-16,8/15/2024 1:18:33 PM,218,NA,NA,NA,NA,NA,NA
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,86,77,95,NA,false,NA,NA,NA,Global health (LMICs),WP,2024-07-16,8/15/2024 1:18:33 PM,219,NA,NA,NA,NA,NA,NA
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,3.3,2.6,4.1,NA,false,NA,NA,NA,Global health (LMICs),WP,2024-07-16,8/15/2024 1:18:33 PM,220,NA,NA,NA,NA,NA,NA
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,3.3,2.6,4.1,NA,false,NA,NA,NA,Global health (LMICs),WP,2024-07-16,8/15/2024 1:18:33 PM,221,NA,NA,NA,NA,NA,NA
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,overall,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,80,65,90,NA,false,NA,NA,NA,Global health (LMICs),WP,2024-07-16,8/15/2024 1:19:30 PM,222,NA,NA,NA,NA,NA,NA
Effects of Emigration on Rural Labor Markets,overall,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Frank Gyimah Sackey,false,70,50,78,NA,false,NA,NA,NA,Economic development & governance (LMICs),WP,2024-06-26,7/2/2024 10:31:51 AM,223,NA,NA,NA,NA,NA,NA
Effects of Emigration on Rural Labor Markets,merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Frank Gyimah Sackey,false,2.5,1,3,NA,false,NA,NA,NA,Economic development & governance (LMICs),WP,2024-06-26,7/2/2024 10:33:16 AM,224,NA,NA,NA,NA,NA,NA
Effects of Emigration on Rural Labor Markets,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Frank Gyimah Sackey,false,70,50,90,NA,NA,NA,NA,NA,Economic development & governance (LMICs),WP,2024-06-26,7/9/2024 10:43:49 AM,225,NA,NA,NA,NA,NA,NA
Effects of Emigration on Rural Labor Markets,methods,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Frank Gyimah Sackey,false,70,50,90,NA,NA,NA,NA,NA,Economic development & governance (LMICs),WP,2024-06-26,7/9/2024 10:43:59 AM,226,NA,NA,NA,NA,NA,NA
Effects of Emigration on Rural Labor Markets,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Frank Gyimah Sackey,false,70,50,90,NA,NA,NA,NA,NA,Economic development & governance (LMICs),WP,2024-06-26,7/9/2024 10:44:05 AM,227,NA,NA,NA,NA,NA,NA
Effects of Emigration on Rural Labor Markets,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Frank Gyimah Sackey,false,70,50,90,NA,NA,NA,NA,NA,Economic development & governance (LMICs),WP,2024-06-26,7/9/2024 10:44:17 AM,228,NA,NA,NA,NA,NA,NA
Effects of Emigration on Rural Labor Markets,real_world,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Frank Gyimah Sackey,false,70,50,90,NA,NA,NA,NA,NA,Economic development & governance (LMICs),WP,2024-06-26,7/9/2024 10:44:22 AM,229,NA,NA,NA,NA,NA,NA
Effects of Emigration on Rural Labor Markets,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Frank Gyimah Sackey,false,70,50,90,NA,NA,NA,NA,NA,Economic development & governance (LMICs),WP,2024-06-26,7/9/2024 10:44:34 AM,230,NA,NA,NA,NA,NA,NA
Effects of Emigration on Rural Labor Markets,journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Frank Gyimah Sackey,false,2.5,1,3,NA,NA,NA,NA,NA,Economic development & governance (LMICs),WP,2024-06-26,7/9/2024 10:45:04 AM,231,NA,NA,NA,NA,NA,NA
Existential risk and growth,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Seth G. Benzell,false,80,50,100,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-01,8/15/2024 12:42:24 PM",232,NA,NA,NA,NA,NA,NA
Existential risk and growth,methods,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Seth G. Benzell,false,90,75,95,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-01,8/15/2024 12:43:31 PM",233,NA,NA,NA,NA,NA,NA
Existential risk and growth,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Seth G. Benzell,false,90,85,95,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-01,8/15/2024 12:43:40 PM",234,NA,NA,NA,NA,NA,NA
Existential risk and growth,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Seth G. Benzell,false,95,90,99,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-01,8/15/2024 12:43:53 PM",235,NA,NA,NA,NA,NA,NA
Existential risk and growth,real_world,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Seth G. Benzell,false,80,50,100,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-01,8/15/2024 12:44:15 PM",236,NA,NA,NA,NA,NA,NA
Existential risk and growth,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Seth G. Benzell,false,80,60,100,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-01,8/15/2024 12:44:15 PM",237,NA,NA,NA,NA,NA,NA
Existential risk and growth,journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Seth G. Benzell,false,4.5,4.2,5.0,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-01,8/15/2024 12:44:15 PM",238,NA,NA,NA,NA,NA,NA
Existential risk and growth,merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Seth G. Benzell,false,4.5,3,5.0,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-01,8/15/2024 12:44:15 PM",239,NA,NA,NA,NA,NA,NA
Existential risk and growth,overall,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Seth G. Benzell,false,95,80,99,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-01,8/15/2024 12:44:54 PM",240,NA,NA,NA,NA,NA,NA
Existential risk and growth,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Ioannis Bournakis,false,60,55,65,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-01,8/15/2024 12:45:07 PM",241,NA,NA,NA,NA,NA,NA
Existential risk and growth,methods,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Ioannis Bournakis,false,85,80,90,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-01,8/15/2024 12:45:07 PM",242,NA,NA,NA,NA,NA,NA
Existential risk and growth,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Ioannis Bournakis,false,70,65,75,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-01,8/15/2024 12:45:07 PM",243,NA,NA,NA,NA,NA,NA
Existential risk and growth,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Ioannis Bournakis,false,63,60,70,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-01,8/15/2024 12:45:07 PM",244,NA,NA,NA,NA,NA,NA
Existential risk and growth,real_world,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Ioannis Bournakis,false,65,60,72,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-01,8/15/2024 12:45:07 PM",245,NA,NA,NA,NA,NA,NA
Existential risk and growth,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Ioannis Bournakis,false,70,65,75,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-01,8/15/2024 12:45:07 PM",246,NA,NA,NA,NA,NA,NA
Existential risk and growth,journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Ioannis Bournakis,false,3.5,3.2,4.0,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-01,8/15/2024 12:45:07 PM",247,NA,NA,NA,NA,NA,NA
Existential risk and growth,merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Ioannis Bournakis,false,3.5,3.2,4.1,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-01,8/15/2024 12:45:07 PM",248,NA,NA,NA,NA,NA,NA
Existential risk and growth,overall,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Ioannis Bournakis,false,68,60,70,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-01,8/15/2024 12:45:07 PM",249,NA,NA,NA,NA,NA,NA
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Anon. evaluation 1,true,75,60,90,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-23,8/15/2024 9:19:27 AM",250,NA,NA,NA,NA,NA,NA
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,methods,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Anon. evaluation 1,true,70,60,80,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-23,8/15/2024 9:20:01 AM",251,NA,NA,NA,NA,NA,NA
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Anon. evaluation 1,true,80,70,90,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-23,8/15/2024 9:20:08 AM",252,NA,NA,NA,NA,NA,NA
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Anon. evaluation 1,true,70,60,80,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-23,8/15/2024 9:20:14 AM",253,NA,NA,NA,NA,NA,NA
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,real_world,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Anon. evaluation 1,true,90,85,95,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-23,8/15/2024 9:20:21 AM",254,NA,NA,NA,NA,NA,NA
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Anon. evaluation 1,true,90,85,95,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-23,8/15/2024 9:21:39 AM",255,NA,NA,NA,NA,NA,NA
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Anon. evaluation 1,true,4,3.5,5.0,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-23,8/15/2024 9:21:55 AM",256,NA,NA,NA,NA,NA,NA
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Anon. evaluation 1,true,4,3.5,5.0,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-23,8/15/2024 9:22:02 AM",257,NA,NA,NA,NA,NA,NA
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,overall,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Anon. evaluation 1,true,75,60,90,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-23,8/15/2024 9:22:08 AM",258,NA,NA,NA,NA,NA,NA
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Anon. evaluation 2,true,85,NA,NA,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-23,8/15/2024 9:24:55 AM",259,NA,NA,NA,NA,NA,NA
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,methods,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Anon. evaluation 2,true,75,NA,NA,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-23,8/15/2024 9:24:55 AM",260,NA,NA,NA,NA,NA,NA
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Anon. evaluation 2,true,75,NA,NA,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-23,8/15/2024 9:24:55 AM",261,NA,NA,NA,NA,NA,NA
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Anon. evaluation 2,true,85,NA,NA,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-23,8/15/2024 9:24:55 AM",262,NA,NA,NA,NA,NA,NA
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,real_world,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Anon. evaluation 2,true,95,NA,NA,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-23,8/15/2024 9:24:55 AM",263,NA,NA,NA,NA,NA,NA
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Anon. evaluation 2,true,95,NA,NA,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-23,8/15/2024 9:24:55 AM",264,NA,NA,NA,NA,NA,NA
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,overall,Working paper/mimeo; not published in a peer-reviewed journal,Catastrophic and existential risks,the long-term future,forecasting,Anon. evaluation 2,true,80,NA,NA,NA,NA,NA,NA,NA,Catastrophic & existential risks,"the long-term future, forecasting,WP,2024-08-23,8/15/2024 9:24:55 AM",265,NA,NA,NA,NA,NA,NA
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,overall,Working paper/mimeo; not published in a peer-reviewed journal,Other: Economics/welfare,growth,policy,global markets and population,Evaluator 1,true,80,65,95,NA,false,NA,NA,NA,"Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:18:42 PM",266,NA,NA,NA,NA,NA,NA
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,Other: Economics/welfare,growth,policy,global markets and population,Evaluator 1,true,70,50,90,NA,false,NA,NA,NA,"Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:18:42 PM",267,NA,NA,NA,NA,NA,NA
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,methods,Working paper/mimeo; not published in a peer-reviewed journal,Other: Economics/welfare,growth,policy,global markets and population,Evaluator 1,true,90,85,95,NA,NA,NA,NA,NA,"Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:18:42 PM",268,NA,NA,NA,NA,NA,NA
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,Other: Economics/welfare,growth,policy,global markets and population,Evaluator 1,true,90,85,95,NA,NA,NA,NA,NA,"Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:18:42 PM",269,NA,NA,NA,NA,NA,NA
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,Other: Economics/welfare,growth,policy,global markets and population,Evaluator 1,true,90,85,95,NA,NA,NA,My rating here is based on the data and its use,not the study’s experimental design in the field,"which (like many experiments) likely has many nuances in implementation.,,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:18:42 PM",270,NA,NA,NA,NA,NA,NA
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,real_world,Working paper/mimeo; not published in a peer-reviewed journal,Other: Economics/welfare,growth,policy,global markets and population,Evaluator 1,true,80,70,89,NA,NA,NA,NA,NA,"Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:18:42 PM",271,NA,NA,NA,NA,NA,NA
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,Other: Economics/welfare,growth,policy,global markets and population,Evaluator 1,true,80,70,89,NA,NA,NA,NA,NA,"Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:18:42 PM",272,NA,NA,NA,NA,NA,NA
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,Other: Economics/welfare,growth,policy,global markets and population,Evaluator 1,true,4.2,3.5,4.9,NA,NA,NA,NA,NA,"Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:18:42 PM",273,NA,NA,NA,NA,NA,NA
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,Other: Economics/welfare,growth,policy,global markets and population,Evaluator 1,true,4.2,3.5,4.9,NA,NA,NA,NA,NA,"Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:18:42 PM",274,NA,NA,NA,NA,NA,NA
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,overall,Working paper/mimeo; not published in a peer-reviewed journal,Other: Economics/welfare,growth,policy,global markets and population,Evaluator 2,true,85,80,90,NA,false,NA,NA,NA,"Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:25:16 PM",275,NA,NA,NA,NA,NA,NA
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,Other: Economics/welfare,growth,policy,global markets and population,Evaluator 2,true,75,70,80,NA,false,NA,The paper is framed,and the contribution posed mainly about unconditional trash transfers (UCT). However,"the experiment was conducted during the COVID-19 pandemic. Therefore, the paper is also about UCT during a pandemic. The authors are probably the first ones to study this, but this contribution should be made upfront. The authors, therefore, should relate to further literature on cash transfers during the pandemic. The paper has limited external validity given the end of the pandemic/conducting the experiment under very particular circumstances,,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:25:16 PM",276,NA,NA,NA,NA,NA,NA
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,methods,Working paper/mimeo; not published in a peer-reviewed journal,Other: Economics/welfare,growth,policy,global markets and population,Evaluator 2,true,95,90,100,NA,NA,NA,NA,NA,"Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:25:16 PM",277,NA,NA,NA,NA,NA,NA
