paper,metric,midpoint,lower_bound,upper_bound,model
McGuire_et_al._2024,open_science,62,50,75,gpt-5-pro-2025-10-06
McGuire_et_al._2024,global_relevance,90,82,96,gpt-5-pro-2025-10-06
Naidu_et_al._2023,overall,89,82,94,gpt-5-pro-2025-10-06
Naidu_et_al._2023,claims_evidence,87,80,92,gpt-5-pro-2025-10-06
Naidu_et_al._2023,methods,84,76,90,gpt-5-pro-2025-10-06
Naidu_et_al._2023,advancing_knowledge,90,83,95,gpt-5-pro-2025-10-06
Naidu_et_al._2023,logic_communication,88,82,93,gpt-5-pro-2025-10-06
Naidu_et_al._2023,open_science,62,45,75,gpt-5-pro-2025-10-06
Naidu_et_al._2023,global_relevance,93,87,98,gpt-5-pro-2025-10-06
Peterman_et_al._2025,overall,82,74,89,gpt-5-pro-2025-10-06
Peterman_et_al._2025,claims_evidence,81,73,88,gpt-5-pro-2025-10-06
Peterman_et_al._2025,methods,78,70,86,gpt-5-pro-2025-10-06
Peterman_et_al._2025,advancing_knowledge,83,75,90,gpt-5-pro-2025-10-06
Peterman_et_al._2025,logic_communication,76,68,84,gpt-5-pro-2025-10-06
Peterman_et_al._2025,open_science,64,50,78,gpt-5-pro-2025-10-06
Peterman_et_al._2025,global_relevance,92,85,97,gpt-5-pro-2025-10-06
Salazar_and_Restrepo_2024,overall,68,60,76,gpt-5-pro-2025-10-06
Salazar_and_Restrepo_2024,claims_evidence,62,50,72,gpt-5-pro-2025-10-06
Salazar_and_Restrepo_2024,methods,60,48,70,gpt-5-pro-2025-10-06
Salazar_and_Restrepo_2024,advancing_knowledge,72,60,82,gpt-5-pro-2025-10-06
Salazar_and_Restrepo_2024,logic_communication,66,56,76,gpt-5-pro-2025-10-06
Salazar_and_Restrepo_2024,open_science,35,20,55,gpt-5-pro-2025-10-06
Salazar_and_Restrepo_2024,global_relevance,82,70,92,gpt-5-pro-2025-10-06
Schoenegger_et_al._2025,overall,72,60,82,gpt-5-pro-2025-10-06
Schoenegger_et_al._2025,claims_evidence,70,58,80,gpt-5-pro-2025-10-06
Schoenegger_et_al._2025,methods,64,52,74,gpt-5-pro-2025-10-06
Schoenegger_et_al._2025,advancing_knowledge,68,55,78,gpt-5-pro-2025-10-06
Schoenegger_et_al._2025,logic_communication,78,68,88,gpt-5-pro-2025-10-06
Schoenegger_et_al._2025,open_science,62,45,75,gpt-5-pro-2025-10-06
Schoenegger_et_al._2025,global_relevance,66,54,78,gpt-5-pro-2025-10-06
Schuett_et_al._2023,overall,74,62,84,gpt-5-pro-2025-10-06
Schuett_et_al._2023,claims_evidence,68,55,80,gpt-5-pro-2025-10-06
Schuett_et_al._2023,methods,64,50,77,gpt-5-pro-2025-10-06
Schuett_et_al._2023,advancing_knowledge,66,52,80,gpt-5-pro-2025-10-06
Schuett_et_al._2023,logic_communication,86,78,92,gpt-5-pro-2025-10-06
Schuett_et_al._2023,open_science,82,68,90,gpt-5-pro-2025-10-06
Schuett_et_al._2023,global_relevance,84,72,92,gpt-5-pro-2025-10-06
Trammel_and_Aschenbrenner_2024,overall,86,78,92,gpt-5-pro-2025-10-06
Trammel_and_Aschenbrenner_2024,claims_evidence,76,65,85,gpt-5-pro-2025-10-06
Trammel_and_Aschenbrenner_2024,methods,89,82,95,gpt-5-pro-2025-10-06
Trammel_and_Aschenbrenner_2024,advancing_knowledge,82,70,90,gpt-5-pro-2025-10-06
Trammel_and_Aschenbrenner_2024,logic_communication,88,80,94,gpt-5-pro-2025-10-06
Trammel_and_Aschenbrenner_2024,open_science,68,56,80,gpt-5-pro-2025-10-06
Trammel_and_Aschenbrenner_2024,global_relevance,83,72,90,gpt-5-pro-2025-10-06
Walker_et_al._2023,overall,86,78,93,gpt-5-pro-2025-10-06
Walker_et_al._2023,claims_evidence,84,75,90,gpt-5-pro-2025-10-06
Walker_et_al._2023,methods,82,70,90,gpt-5-pro-2025-10-06
Walker_et_al._2023,advancing_knowledge,90,82,96,gpt-5-pro-2025-10-06
Walker_et_al._2023,logic_communication,88,80,94,gpt-5-pro-2025-10-06
Walker_et_al._2023,open_science,60,45,70,gpt-5-pro-2025-10-06
Walker_et_al._2023,global_relevance,90,83,96,gpt-5-pro-2025-10-06
Weaver_et_al._2025,overall,90,85,95,gpt-5-pro-2025-10-06
Weaver_et_al._2025,claims_evidence,88,82,94,gpt-5-pro-2025-10-06
Weaver_et_al._2025,methods,85,78,90,gpt-5-pro-2025-10-06
Weaver_et_al._2025,advancing_knowledge,89,83,95,gpt-5-pro-2025-10-06
Weaver_et_al._2025,logic_communication,90,85,95,gpt-5-pro-2025-10-06
Weaver_et_al._2025,open_science,62,50,72,gpt-5-pro-2025-10-06
Weaver_et_al._2025,global_relevance,95,90,98,gpt-5-pro-2025-10-06
Williams_et_al._2024,overall,87,78,93,gpt-5-pro-2025-10-06
Williams_et_al._2024,claims_evidence,82,75,88,gpt-5-pro-2025-10-06
Williams_et_al._2024,methods,75,65,85,gpt-5-pro-2025-10-06
Williams_et_al._2024,advancing_knowledge,85,75,92,gpt-5-pro-2025-10-06
Williams_et_al._2024,logic_communication,90,84,96,gpt-5-pro-2025-10-06
Williams_et_al._2024,open_science,62,50,75,gpt-5-pro-2025-10-06
Williams_et_al._2024,global_relevance,92,85,97,gpt-5-pro-2025-10-06
Xing_et_al._2023,overall,82,74,89,gpt-5-pro-2025-10-06
Xing_et_al._2023,claims_evidence,78,70,85,gpt-5-pro-2025-10-06
Xing_et_al._2023,methods,72,60,82,gpt-5-pro-2025-10-06
Xing_et_al._2023,advancing_knowledge,86,78,93,gpt-5-pro-2025-10-06
Xing_et_al._2023,logic_communication,80,70,88,gpt-5-pro-2025-10-06
Xing_et_al._2023,open_science,40,25,55,gpt-5-pro-2025-10-06
Xing_et_al._2023,global_relevance,90,82,96,gpt-5-pro-2025-10-06
