author,n_seed_dois_cited,n_citing_works,seed_dois,seed_short_titles,seed_titles_full
Mingwei Xu,1,2,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Mohammad Rezoanul Hoque,1,2,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
Monica E Ellwood-Lowe,1,2,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Montse Fernández,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Moti Shatner,1,2,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives
Mélissa Hidrobo,1,2,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Nahian Azad Shashi,1,2,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
Nan Jia,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Natalie Bau,1,2,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Nathan A. Fox,1,2,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Nathan Fiala,1,2,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
Niccolò F. Meriggi,1,2,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Nicole Kovski,1,2,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Nikhil Kalathil,1,2,10.1257/pandp.20201017,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Nina Blöndal,1,2,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
Nneka Osadolor,1,2,10.3386/w30835,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis
Nuole Chen,1,2,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Nursena Aksünger,1,2,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Ottmar Edenhofer,1,2,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Paula López-Peña,1,2,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
Pedro Quelhas Brito,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Peiyao Shen,1,2,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Peter Buxmann,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Pheliciah Mwachofi,1,2,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Philipp Barteska,1,2,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Post Raj Pokharel,1,2,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
R. Amirikas,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Rachit Dhiman,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Rebecca Johnson,1,2,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Rebecca Littman,1,2,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Rekha Balu,1,2,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Robert Collinson,1,2,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Robert F. Stambaugh,1,2,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Robin L. Chazdon,1,2,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions
Russell Burnett,1,2,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Russell Golman,1,2,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices
Rémy Lecat,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Saad B. Omer,1,2,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Sabina Shaikh,1,2,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices
Sara Lowes,1,2,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Sarah Shaukat,1,2,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Saurabh Mishra,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Seong‐Jin Park,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Seth Benzell,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Shalini Roy,1,2,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Shaojian Chen,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Sheshadri Chatterjee,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Shih-Chi Ma,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Shi‐Sheng Liu,1,2,10.1111/conl.13077,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species
Shmuel San,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Siliang Tong,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Silvia Saccardo,1,2,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Sin-Tung Choi,1,2,10.1111/conl.13077,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species
Sofia Miteff,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Sonia Parratt Fernández,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Sonja Dobkowitz,1,2,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Sreyashi Sharmin,1,2,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Stephanie Bonds,1,2,10.3386/w30835,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis
Steven McCabe,1,2,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Suchi Kapoor Malhotra,1,2,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
Suwen Ge,1,2,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Sylvie Borau,1,2,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices
Thang Ngoc Bach,1,2,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Thato Letsomo,1,2,10.3386/w31208,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries
Theresa K. Meyer,1,2,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety
Thomas Giroux,1,2,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Thorsten Staake,1,2,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Tingwei Luo,1,2,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Tingyu Yu,1,2,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Tobias Kollmann,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Tobias Schimanski,1,2,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Tomas Folke,1,2,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Tomohiko Endo,1,2,10.1111/conl.13077,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species
Tristan Reed,1,2,10.1257/pandp.20201017,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Tzu‐Pi Chen,1,2,10.1111/conl.13077,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species
Uri Schattner,1,2,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives
V. Mironov,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Verena Tiefenbeck,1,2,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Veronika Cheplygina,1,2,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives
Vis Taraz,1,2,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
Wei Zhang,1,2,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Wei‐Ting Chen,1,2,10.1111/conl.13077,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species
Wenbiao Sha,1,2,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Wendy Janssens,1,2,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Willem E. Frankenhuis,1,2,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Winnie van Dijk,1,2,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Xi Weng,1,2,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Xianfeng Zhang,1,2,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Xiang Hui,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Xiaoyu Chen,1,2,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Ximeng Fang,1,2,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Xinyi Lv,1,2,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Xueming Luo,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Xueping Liang,1,2,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Yacov Tsur,1,2,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Yi Li,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Yu Gao,1,2,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices
Yu Qian,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Yuan Zhi Seah,1,2,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Yuancheng Wang,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Yuichi Furukawa,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Yvonne van Dalen,1,2,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Zachary Wagner,1,2,10.3386/w30835,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis
Zafer Kanik,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Zhaoxuan Qiu,1,2,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Zheng Fang,1,2,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Zhiwei Wang,1,2,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Ľuboš Pástor,1,2,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
A R T Hidayat,1,1,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
A. K. Chaurasia,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
A. Rani Elwy,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
A. Yu. Kolpakov,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
A. de Ruyter,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
A.C. Sim,1,1,10.1093/ej/uead102,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia
Aaron S. Kesselheim,1,1,10.1257/pandp.20201017,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Aaron Salzberg,1,1,10.1093/wbro/lkae010,The Effect of Lead Exposure on Children’s Learning in the…,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis
Abdelaziz Abdalla Alowais,1,1,10.3386/w31354,The Benefits and Costs of Guest Worker Programs,The Benefits and Costs of Guest Worker Programs: Experimental Evidence from the India-UAE Migration Corridor
Abdullah M. Baabdullah,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Abeba N. Turi,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Abel Lucena,1,1,10.3386/w31899,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D
Abhishek Gupta,1,1,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion
Abideen Salako,1,1,10.3386/w30835,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis
Abraham Loeb,1,1,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion
Abu Shonchoy,1,1,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
Abubakr Suliman,1,1,10.3386/w31354,The Benefits and Costs of Guest Worker Programs,The Benefits and Costs of Guest Worker Programs: Experimental Evidence from the India-UAE Migration Corridor
Achim Wambach,1,1,10.3386/w26775,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Adam Laycock,1,1,10.1093/wbro/lkae010,The Effect of Lead Exposure on Children’s Learning in the…,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis
Adam McCloskey,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Adam Rose,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Adeline Delavande,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Adeyinka Tella,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Adrian Stoian,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Adriana Ibiti,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Adrien Bilal,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Adélaïde Fadhuile,1,1,10.3386/w30740,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?"
Aelita Sargsyan,1,1,10.1093/wbro/lkae010,The Effect of Lead Exposure on Children’s Learning in the…,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis
Afaf Bouhoute,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Afshan Naseem,1,1,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion
Agnė Paliokaitė,1,1,10.3386/w31899,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D
Agudelo Nicolás,1,1,10.1257/pandp.20201017,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Aguilar David,1,1,10.1257/pandp.20201017,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Ahmed Karmaoui,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Ahmed M. Fallatah,1,1,10.3386/w30835,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis
Ahsan Alam,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Aidan Coville,1,1,10.1093/ej/uead102,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia
Aidan Hollis,1,1,10.1257/pandp.20201017,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Aikaterini Taka,1,1,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Aishwarya Atluri,1,1,10.3386/w30835,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis
Ajay Pillarisetti,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Akash R. Wasil,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Akhter Ahmed,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Akimitsu Hirota,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Akshay Kotak,1,1,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives
Alain Quinet,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Alain de Janvry,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Alan Chan,1,1,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion
Alan de Brauw,1,1,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
Albert Quek,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Alberto Binetti,1,1,10.3386/w32073,Ends versus Means,"Ends versus Means: Kantians, Utilitarians, and Moral Decisions"
Alberto Ciancio,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Alberto Costantiello,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Alberto Garcı́a,1,1,10.3386/w31554,Urban Forests,Urban Forests: Environmental Health Values and Risks
Alberto González‐García,1,1,10.3386/w31554,Urban Forests,Urban Forests: Environmental Health Values and Risks
Aleida March,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Alejandro Ganimian,1,1,10.3386/w31208,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries
Aleksandr Christenko,1,1,10.3386/w31899,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D
Aleksei V. Bogoviz,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Alessandra Calvo–Friedman,1,1,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Alessandro Palma,1,1,10.3386/w30740,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?"
Alex Tabarrok,1,1,10.3386/w26775,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Alexander F. Wagner,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Alexander Kopka,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Alexander Pfaff,1,1,10.1257/pandp.20201017,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Alexandr V. Lukashin,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Alexandra Hartman,1,1,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress
Alexandra Sadler,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Alexandre Alahi,1,1,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion
Alexandre Garel,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Alexandre Sollaci,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Alexey Makarin,1,1,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress
Alexis Poindron,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Alfonso Sousa‐Poza,1,1,10.3386/w30202,Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts…,Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination
Alfredo Burlando,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Alice Dominici,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Alina Fahrenwaldt,1,1,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices
Alireza Ghassemi Toussi,1,1,10.1093/wbro/lkae010,The Effect of Lead Exposure on Children’s Learning in the…,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis
Alison Karasz,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Alissa Kleinnijenhuis,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Allison Witman,1,1,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Altuğ Günar,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Alvin E. Roth,1,1,10.1257/pandp.20201017,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
