author,seed_short_titles,seed_titles_full,unjournal_evals,n_seed_dois_cited_by_author,n_citing_works_by_author
Aelita Sargsyan,The Effect of Lead Exposure on Children’s Learning in the…,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis,,1,1
Afshan Naseem,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Agnė Paliokaitė,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D,,1,1
Agudelo Nicolás,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Aguilar David,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Ahmed M. Fallatah,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Ahsan Alam,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Aidan Coville,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,,1,1
Aidan Hollis,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Aikaterini Taka,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Aishwarya Atluri,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Ajay Pillarisetti,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Akash R. Wasil,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Akhter Ahmed,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Akshay Kotak,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Alain de Janvry,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Alan Chan,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Alan de Brauw,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Alberto Binetti,Ends versus Means,"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",,1,1
Alberto Ciancio,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Alberto Garcı́a,Urban Forests,Urban Forests: Environmental Health Values and Risks,,1,1
Alberto González‐García,Urban Forests,Urban Forests: Environmental Health Values and Risks,,1,1
Aleida March,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Alejandro Ganimian,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
Aleksandr Christenko,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D,,1,1
Alessandra Calvo–Friedman,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Alessandro Palma,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",,1,1
Alex Tabarrok,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Alexander F. Wagner,Biodiversity Risk,Biodiversity Risk,,1,1
Alexander Pfaff,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Alexandra Hartman,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,,1,1
Alexandra Sadler,Biodiversity Risk,Biodiversity Risk,,1,1
Alexandre Alahi,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Alexandre Garel,Biodiversity Risk,Biodiversity Risk,,1,1
Alexandre Sollaci,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Alexey Makarin,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,,1,1
Alexis Poindron,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Alfonso Sousa‐Poza,Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts…,Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,,1,1
Alfredo Burlando,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Alice Dominici,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Alina Fahrenwaldt,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,1,1
Alireza Ghassemi Toussi,The Effect of Lead Exposure on Children’s Learning in the…,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis,,1,1
Alison Karasz,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Alissa Kleinnijenhuis,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Allison Witman,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Alvin E. Roth,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Alvin Kuowei Tay,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Alyas Widita,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,,1,1
Amanda Johnson,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Amanda Lenhardt,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Amar Rao,Biodiversity Risk,Biodiversity Risk,,1,1
Amber van Druten,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,1,1
Amel Gacem,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Amelia Clarke,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Amir Jina,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Amitrajeet A. Batabyal,Money (Not) to Burn,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,,1,1
Amrita Ahuja,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Amrita Singh,Biodiversity Risk,Biodiversity Risk,,1,1
Amy Freeman,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Amy McQueen,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,1,1
Amy Ogan,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Améline Vallet,Urban Forests,Urban Forests: Environmental Health Values and Risks,,1,1
Ana Julia Paula Carcedo,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Ana-Maria Boromisa,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Anand M. Osuri,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,,1,1
Anand Nair,The Governance of Nonprofits and Their Social Impact,The Governance of Nonprofits and Their Social Impact: Evidence from a Randomized Program in Healthcare in the Democratic Republic of Congo,,1,1
Anant Bhan,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Anastasia Spartinou,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Anazélia M. Tedesco,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,,1,1
Anca Balietti,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Anca D. Dragan,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Anders Bach‐Mortensen,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Anders H. Lund,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Anders Kjelsrud,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Anders Kärnä,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Anders Sandberg,Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared…,Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared to Artificial General Intelligence Safety,,1,1
Andrea Prieto,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
Andrea Repetto,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Andrea Sauchelli,Population ethical intuitions,Population ethical intuitions,,1,1
Andreas G. F. Hoepner,Biodiversity Risk,Biodiversity Risk,,1,1
Andreas Kjær Stage,Choose Your Moments,Choose Your Moments: Peer Review and Scientific Risk Taking,,1,1
Andreas Kotsadam,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Andreas Löschel,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,1,1
Andreas Mokros,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Andreas Richter,Biodiversity Risk,Biodiversity Risk,,1,1
Andreas T. Schmidt,Population ethical intuitions,Population ethical intuitions,,1,1
Andreas de Barros,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
Andrew Balmford,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,,1,1
Andrew Barry,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Andrew Chi-Chih Yao,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Andrew J. McDonald,Money (Not) to Burn,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,,1,1
Andrew Laitha,The Benefits and Costs of Guest Worker Programs,The Benefits and Costs of Guest Worker Programs: Experimental Evidence from the India-UAE Migration Corridor,,1,1
Andrew Simon,Cash Transfers for Child Development,Cash Transfers for Child Development: Experimental Evidence from India,,1,1
Andrew Urquhart,Biodiversity Risk,Biodiversity Risk,,1,1
Andrés Felipe Suárez‐Castro,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,,1,1
Andy Gray,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Angela Duckworth,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Angela Ofori-Atta,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Angélica M. Almeyda Zambrano,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,,1,1
Anil Cacodcar,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Anirudh Sankar,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Anja Groth,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Anjini Kochar,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Ankai Xu,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Anke Haberkamp,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Ann H. Kelly,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Ann P. Kinzig,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Anna Cretì,Biodiversity Risk,Biodiversity Risk,,1,1
Anna Fabry,The Benefits and Costs of Guest Worker Programs,The Benefits and Costs of Guest Worker Programs: Experimental Evidence from the India-UAE Migration Corridor,,1,1
Anna Gassman‐Pines,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Anna Reuter,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Anna Schrimpf,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Anna Tompsett,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Annan Khampeera,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Anne Bartsch,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,,1,1
Anne Karing,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Anthony J. Pavlo,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Antoine Nebout,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",,1,1
Antonio Gaitán Torres,Population ethical intuitions,Population ethical intuitions,,1,1
Anujit Chakraborty,Ends versus Means,"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",,1,1
Anushka Patel,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Aparna Gomes,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Aras Canipek,Biodiversity Risk,Biodiversity Risk,,1,1
Areti Lagiou,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D,,1,1
Areti-Dimitra Koulouvari,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D,,1,1
Arielle Bernhardt,Intergenerational Child Mortality Impacts of Deworming,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,,1,1
Arkodipta Sarkar,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Arnab Acharya,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Arndt Reichert,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,,1,1
Arregocés Leonardo,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Arthur Baker,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Arthur Moonga,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Arthur Romec,Biodiversity Risk,Biodiversity Risk,,1,1
Asbjørn Andersen,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Ashish Arora,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D,,1,1
Ashley V. Whillans,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Ashwin Acharya,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Atheendar Venkataramani,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Atılım Güneş Baydin,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Audun Langørgen,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Aurinta Elenskė,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D,,1,1
Aurélien Baillon,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,1,1
Aviv Ovadya,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Ayman Abdalmajeed Alsmadi,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Ayoub Saei,The Effect of Lead Exposure on Children’s Learning in the…,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis,,1,1
B Shrestha,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
B. Akomolafe,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
B. Dhillon,Money (Not) to Burn,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,,1,1
B. Kelsey Jack,A Welfare Analysis of Policies Impacting Climate Change,A Welfare Analysis of Policies Impacting Climate Change,,1,1
B. N. Porfiriev,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
B. S. Karky,Biodiversity Risk,Biodiversity Risk,,1,1
B. Wang,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
B.V.E. Hyde,Population ethical intuitions,Population ethical intuitions,,1,1
Babatunde Adewale,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Babatunde Lawal Salako,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Bachir El Khadir,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Baihui Pan,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Balasubramani Ravindran,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Barnabás Szászi,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Bashiru Yachori,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Bassirou Karimou,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Bastian Schnabel,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Bastien Kolt,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Battista Biggio,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Bauyrzhan Yedgenov,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,,1,1
Bella Tonkonogy,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Ben Bucknall,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Ben Garfinkel,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Bence Pálfi,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Benjamin Collier,Biodiversity Risk,Biodiversity Risk,,1,1
Benjamin Dennis,Biodiversity Risk,Biodiversity Risk,,1,1
Benjamin Faber,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Benjamin Golub,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Benjamin K. Sovacool,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Benjamin Ly Serena,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Benjamin Lê Cook,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Benjamin Olken,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Benjamin Wall,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Benny Smith,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,1,1
Bernardo A. Bastien-Olvera,The Environmental Effects of Economic Production,The Environmental Effects of Economic Production: Evidence from Ecological Observations,,1,1
Berta Martín‐López,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,,1,1
Bethany Springer,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Beverley Nielsen,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Bhattacharjee Suchiradipta,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Bhaven N. Sampat,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Bianca Vandresen,The animal welfare cost of meat,The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,,1,1
Bill Schultz,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Binghan Jiang,Biodiversity Risk,Biodiversity Risk,,1,1
Bingnan Guo,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Bingrui Gao,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Birgit Stark,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,,1,1
Bo Jellesmark Thorsen,Biodiversity Risk,Biodiversity Risk,,1,1
Bo Zhang,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Bob Fischer,The animal welfare cost of meat,The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,,1,1
Bohui Zhang,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Bowen Guan,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Brad Wong,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
Brajesh Tripathi,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Brandon Joel Tan,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Brian Beckage,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Brian C. Albrecht,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Brian Jacob,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Brian O’Callaghan,Biodiversity Risk,Biodiversity Risk,,1,1
Brittney Sandler,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Brooke Williams,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,,1,1
Bruce P. Lanphear,The Effect of Lead Exposure on Children’s Learning in the…,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis,,1,1
Bryan Patenaude,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Busara Lab Busara Lab,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Béatrice Roussillon,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",,1,1
C. D. West,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Canice Prendergast,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Cao Truong Son,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Carl Johan Lagerkvist,Biodiversity Risk,Biodiversity Risk,,1,1
Carl Shulman,Population ethical intuitions,Population ethical intuitions,,1,1
Carlos Alberto Dória,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
Carlos Gould,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Carlos Hernández,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
