research,criteria,publication_status,main_cause_cat,evaluator,Anonymous,middle_rating,lower_CI,upper_CI,confidence_level,checked_against_source,notes on check against source,evaluator_comment,eval_weight (not used yet),cause areas,Journal publication title,publication_date_unjournal,row_created_date
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,logic_comms,"Published, ~top journal","The Environment: Harm to human health, biodiversity, risks and climate change",Anonymous_10,true,67,62,78,,false,,,,"Environment, biodiversity, climate",American Economic Review,2023-08-09,6/7/2024 4:40:59 PM
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,real_world,"Published, ~top journal","The Environment: Harm to human health, biodiversity, risks and climate change",Anonymous_10,true,91,78,94,,false,,,,"Environment, biodiversity, climate",American Economic Review,2023-08-09,6/7/2024 4:40:59 PM
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,gp_relevance,"Published, ~top journal","The Environment: Harm to human health, biodiversity, risks and climate change",Anonymous_10,true,92,82,95,,false,,,,"Environment, biodiversity, climate",American Economic Review,2023-08-09,6/7/2024 4:40:59 PM
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,journal_predict,"Published, ~top journal","The Environment: Harm to human health, biodiversity, risks and climate change",Anonymous_10,true,4.6,3.5,5,,false,,,,"Environment, biodiversity, climate",American Economic Review,2023-08-09,6/7/2024 4:40:59 PM
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,open_sci,"Published, ~top journal","The Environment: Harm to human health, biodiversity, risks and climate change",Anonymous_10,true,48,42,68,,false,,,,"Environment, biodiversity, climate",American Economic Review,2023-08-09,6/7/2024 4:40:59 PM
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,merits_journal,"Published, ~top journal","The Environment: Harm to human health, biodiversity, risks and climate change",Anonymous_10,true,4.3,3.7,4.8,,false,,,,"Environment, biodiversity, climate",American Economic Review,2023-08-09,6/7/2024 4:40:59 PM
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,overall,"Published, ~top journal","The Environment: Harm to human health, biodiversity, risks and climate change",Anonymous_10,true,80,71,86,,false,,,,"Environment, biodiversity, climate",American Economic Review,2023-08-09,6/7/2024 4:40:59 PM
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,76,64,85,,false,,,,Global health (LMICs),WP,2024-07-16,8/15/2024 1:16:54 PM
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,methods,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,77,70,83,,false,,,,Global health (LMICs),WP,2024-07-16,8/15/2024 1:18:24 PM
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,91,81,100,,false,,,,Global health (LMICs),WP,2024-07-16,8/15/2024 1:18:28 PM
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,96,92,100,,false,,,,Global health (LMICs),WP,2024-07-16,8/15/2024 1:18:28 PM
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,real_world,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,95,90,100,,false,,,,Global health (LMICs),WP,2024-07-16,8/15/2024 1:18:33 PM
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,86,77,95,,false,,,,Global health (LMICs),WP,2024-07-16,8/15/2024 1:18:33 PM
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,3.3,2.6,4.1,,false,,,,Global health (LMICs),WP,2024-07-16,8/15/2024 1:18:33 PM
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,3.3,2.6,4.1,,false,,,,Global health (LMICs),WP,2024-07-16,8/15/2024 1:18:33 PM
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,overall,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,80,65,90,,false,,,,Global health (LMICs),WP,2024-07-16,8/15/2024 1:19:30 PM
Effects of Emigration on Rural Labor Markets,overall,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Frank Gyimah Sackey,false,70,50,78,,false,,,,Economic development & governance (LMICs),WP,2024-06-26,7/2/2024 10:31:51 AM
Effects of Emigration on Rural Labor Markets,merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Frank Gyimah Sackey,false,2.5,1,3,,false,,,,Economic development & governance (LMICs),WP,2024-06-26,7/2/2024 10:33:16 AM
Effects of Emigration on Rural Labor Markets,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Frank Gyimah Sackey,false,70,50,90,,,,,,Economic development & governance (LMICs),WP,2024-06-26,7/9/2024 10:43:49 AM
Effects of Emigration on Rural Labor Markets,methods,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Frank Gyimah Sackey,false,70,50,90,,,,,,Economic development & governance (LMICs),WP,2024-06-26,7/9/2024 10:43:59 AM
Effects of Emigration on Rural Labor Markets,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Frank Gyimah Sackey,false,70,50,90,,,,,,Economic development & governance (LMICs),WP,2024-06-26,7/9/2024 10:44:05 AM
Effects of Emigration on Rural Labor Markets,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Frank Gyimah Sackey,false,70,50,90,,,,,,Economic development & governance (LMICs),WP,2024-06-26,7/9/2024 10:44:17 AM
Effects of Emigration on Rural Labor Markets,real_world,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Frank Gyimah Sackey,false,70,50,90,,,,,,Economic development & governance (LMICs),WP,2024-06-26,7/9/2024 10:44:22 AM
Effects of Emigration on Rural Labor Markets,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Frank Gyimah Sackey,false,70,50,90,,,,,,Economic development & governance (LMICs),WP,2024-06-26,7/9/2024 10:44:34 AM
Effects of Emigration on Rural Labor Markets,journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Frank Gyimah Sackey,false,2.5,1,3,,,,,,Economic development & governance (LMICs),WP,2024-06-26,7/9/2024 10:45:04 AM
Existential risk and growth,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Seth G. Benzell,false,80,50,100,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-01,8/15/2024 12:42:24 PM
Existential risk and growth,methods,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Seth G. Benzell,false,90,75,95,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-01,8/15/2024 12:43:31 PM
Existential risk and growth,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Seth G. Benzell,false,90,85,95,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-01,8/15/2024 12:43:40 PM
Existential risk and growth,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Seth G. Benzell,false,95,90,99,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-01,8/15/2024 12:43:53 PM
Existential risk and growth,real_world,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Seth G. Benzell,false,80,50,100,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-01,8/15/2024 12:44:15 PM
Existential risk and growth,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Seth G. Benzell,false,80,60,100,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-01,8/15/2024 12:44:15 PM
Existential risk and growth,journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Seth G. Benzell,false,4.5,4.2,5.0,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-01,8/15/2024 12:44:15 PM
Existential risk and growth,merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Seth G. Benzell,false,4.5,3,5.0,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-01,8/15/2024 12:44:15 PM
Existential risk and growth,overall,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Seth G. Benzell,false,95,80,99,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-01,8/15/2024 12:44:54 PM
Existential risk and growth,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Ioannis Bournakis,false,60,55,65,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-01,8/15/2024 12:45:07 PM
Existential risk and growth,methods,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Ioannis Bournakis,false,85,80,90,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-01,8/15/2024 12:45:07 PM
Existential risk and growth,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Ioannis Bournakis,false,70,65,75,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-01,8/15/2024 12:45:07 PM
Existential risk and growth,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Ioannis Bournakis,false,63,60,70,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-01,8/15/2024 12:45:07 PM
Existential risk and growth,real_world,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Ioannis Bournakis,false,65,60,72,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-01,8/15/2024 12:45:07 PM
Existential risk and growth,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Ioannis Bournakis,false,70,65,75,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-01,8/15/2024 12:45:07 PM
Existential risk and growth,journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Ioannis Bournakis,false,3.5,3.2,4.0,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-01,8/15/2024 12:45:07 PM
Existential risk and growth,merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Ioannis Bournakis,false,3.5,3.2,4.1,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-01,8/15/2024 12:45:07 PM
Existential risk and growth,overall,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Ioannis Bournakis,false,68,60,70,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-01,8/15/2024 12:45:07 PM
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Anon. evaluation 1,true,75,60,90,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-23,8/15/2024 9:19:27 AM
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,methods,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Anon. evaluation 1,true,70,60,80,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-23,8/15/2024 9:20:01 AM
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Anon. evaluation 1,true,80,70,90,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-23,8/15/2024 9:20:08 AM
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Anon. evaluation 1,true,70,60,80,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-23,8/15/2024 9:20:14 AM
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,real_world,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Anon. evaluation 1,true,90,85,95,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-23,8/15/2024 9:20:21 AM
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Anon. evaluation 1,true,90,85,95,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-23,8/15/2024 9:21:39 AM
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Anon. evaluation 1,true,4,3.5,5.0,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-23,8/15/2024 9:21:55 AM
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Anon. evaluation 1,true,4,3.5,5.0,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-23,8/15/2024 9:22:02 AM
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,overall,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Anon. evaluation 1,true,75,60,90,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-23,8/15/2024 9:22:08 AM
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Anon. evaluation 2,true,85,,,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-23,8/15/2024 9:24:55 AM
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,methods,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Anon. evaluation 2,true,75,,,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-23,8/15/2024 9:24:55 AM
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Anon. evaluation 2,true,75,,,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-23,8/15/2024 9:24:55 AM
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Anon. evaluation 2,true,85,,,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-23,8/15/2024 9:24:55 AM
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,real_world,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Anon. evaluation 2,true,95,,,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-23,8/15/2024 9:24:55 AM
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Anon. evaluation 2,true,95,,,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-23,8/15/2024 9:24:55 AM
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,overall,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",Anon. evaluation 2,true,80,,,,,,,,"Catastrophic & existential risks, the long-term future, forecasting",WP,2024-08-23,8/15/2024 9:24:55 AM
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,overall,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Evaluator 1,true,80,65,95,,false,,,,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:18:42 PM
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Evaluator 1,true,70,50,90,,false,,,,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:18:42 PM
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,methods,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Evaluator 1,true,90,85,95,,,,,,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:18:42 PM
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Evaluator 1,true,90,85,95,,,,,,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:18:42 PM
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Evaluator 1,true,90,85,95,,,,"My rating here is based on the data and its use, not the study’s experimental design in the field, which (like many experiments) likely has many nuances in implementation.",,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:18:42 PM
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,real_world,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Evaluator 1,true,80,70,89,,,,,,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:18:42 PM
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Evaluator 1,true,80,70,89,,,,,,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:18:42 PM
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Evaluator 1,true,4.2,3.5,4.9,,,,,,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:18:42 PM
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Evaluator 1,true,4.2,3.5,4.9,,,,,,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:18:42 PM
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,overall,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Evaluator 2,true,85,80,90,,false,,,,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:25:16 PM
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Evaluator 2,true,75,70,80,,false,,"The paper is framed, and the contribution posed mainly about unconditional trash transfers (UCT). However, the experiment was conducted during the COVID-19 pandemic. Therefore, the paper is also about UCT during a pandemic. The authors are probably the first ones to study this, but this contribution should be made upfront. The authors, therefore, should relate to further literature on cash transfers during the pandemic. The paper has limited external validity given the end of the pandemic/conducting the experiment under very particular circumstances",,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:25:16 PM
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,methods,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Evaluator 2,true,95,90,100,,,,,,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:25:16 PM
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Evaluator 2,true,95,90,100,,,,,,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:25:16 PM
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Evaluator 2,true,85,80,90,,,,"Methods and data collection is quite clear, data is not yet widely available since the paper has not been published. Beyond related literature, there are no resources that can enable future research.",,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:25:16 PM
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,real_world,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Evaluator 2,true,75,70,80,,,,"The paper relevance is limited for global priorities since the experiment was conducted during the COVID pandemic, weakening its external validity, and applications in other contexts. Nevertheless the question is important, given the wide use of conditional cash transfers. The transfers given in the experiment might have been low, 500 and 2000 USD, to find a positive effect, however larger cash transfers might be difficult to do practically, therefore the usefulness to practitioners might be limited. However, it is useful to know at least that smaller unconditional cash transfers have limited effects suggestion these should not be done. There is no assessment of quantified costs/benefits.",,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:25:16 PM
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Evaluator 2,true,75,70,80,,,,,,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:25:16 PM
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Evaluator 2,true,4.5,4,5.0,,,,,,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:25:16 PM
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Evaluator 2,true,4,3.5,4.5,,,,,,Other Economics/Welfare/Growth,WP,2024-11-19,2/21/2025 1:25:16 PM
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,adv_knowledge,"Published, uncertain peer review",Global health; “Health & well-being in low-income countries”,Anon. evaluation 1,true,80,65,85,,,,,,Global health (LMICs),The World Bank Research Observer,2024-07-04,8/15/2024 1:25:49 PM
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,methods,"Published, uncertain peer review",Global health; “Health & well-being in low-income countries”,Anon. evaluation 1,true,60,44,82,,,,,,Global health (LMICs),The World Bank Research Observer,2024-07-04,8/15/2024 1:27:05 PM
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,logic_comms,"Published, uncertain peer review",Global health; “Health & well-being in low-income countries”,Anon. evaluation 1,true,66,58,75,,,,,,Global health (LMICs),The World Bank Research Observer,2024-07-04,8/15/2024 1:27:20 PM
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,open_sci,"Published, uncertain peer review",Global health; “Health & well-being in low-income countries”,Anon. evaluation 1,true,61,52,73,,,,,,Global health (LMICs),The World Bank Research Observer,2024-07-04,8/15/2024 1:27:20 PM
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,real_world,"Published, uncertain peer review",Global health; “Health & well-being in low-income countries”,Anon. evaluation 1,true,80,73,85,,,,,,Global health (LMICs),The World Bank Research Observer,2024-07-04,8/15/2024 1:28:46 PM
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,gp_relevance,"Published, uncertain peer review",Global health; “Health & well-being in low-income countries”,Anon. evaluation 1,true,83,77,87,,,,,,Global health (LMICs),The World Bank Research Observer,2024-07-04,8/15/2024 1:28:52 PM
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,merits_journal,"Published, uncertain peer review",Global health; “Health & well-being in low-income countries”,Anon. evaluation 1,true,2.5,2,3.0,,,,,,Global health (LMICs),The World Bank Research Observer,2024-07-04,8/15/2024 1:29:12 PM
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,journal_predict,"Published, uncertain peer review",Global health; “Health & well-being in low-income countries”,Anon. evaluation 1,true,3,2,3.5,,,,,,Global health (LMICs),The World Bank Research Observer,2024-07-04,8/15/2024 1:29:12 PM
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,overall,"Published, uncertain peer review",Global health; “Health & well-being in low-income countries”,Anon. evaluation 1,true,70,55,74,,,,,,Global health (LMICs),The World Bank Research Observer,2024-07-04,8/15/2024 1:29:12 PM
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,adv_knowledge,"Published, uncertain peer review",Global health; “Health & well-being in low-income countries”,Anon. evaluation 2,true,70,65,75,,,,,,Global health (LMICs),The World Bank Research Observer,2024-07-04,8/15/2024 1:29:40 PM
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,methods,"Published, uncertain peer review",Global health; “Health & well-being in low-income countries”,Anon. evaluation 2,true,68,58,78,,,,,,Global health (LMICs),The World Bank Research Observer,2024-07-04,8/15/2024 1:29:40 PM
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,logic_comms,"Published, uncertain peer review",Global health; “Health & well-being in low-income countries”,Anon. evaluation 2,true,75,70,80,,,,,,Global health (LMICs),The World Bank Research Observer,2024-07-04,8/15/2024 1:29:40 PM
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,open_sci,"Published, uncertain peer review",Global health; “Health & well-being in low-income countries”,Anon. evaluation 2,true,80,70,90,,,,,,Global health (LMICs),The World Bank Research Observer,2024-07-04,8/15/2024 1:29:40 PM
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,real_world,"Published, uncertain peer review",Global health; “Health & well-being in low-income countries”,Anon. evaluation 2,true,70,65,75,,,,,,Global health (LMICs),The World Bank Research Observer,2024-07-04,8/15/2024 1:29:40 PM
