paper,metric,midpoint,lower_bound,upper_bound,rationale
Buntaine et al. 2023,methods,92,88,96,"Well-powered firm-level RCT; careful verification of violations; province-by-day FEs; two-way clustering; appeal-level randomization for visibility; spillover assessment via intensity cross-randomization. Concerns: measurement noise in verification, limited power for ambient outcomes, no zero-intensity cities, and limited multiple-testing adjustments."
Buntaine et al. 2023,advancing_knowledge,90,85,95,"Provides first large-scale experimental evidence that social-media public appeals shift regulator behavior and reduce emissions, with rare GE evidence. Integrates citizen–state–firm dynamics. High impact for environmental governance; external portability uncertain but informative."
Buntaine et al. 2023,logic_communication,90,85,94,"Objectives, design, and theory of change are clear; figures/tables match arguments; limitations discussed. Some auxiliary analyses are extensive and placed in appendices; narrative could be streamlined, but reasoning remains transparent and consistent."
Buntaine et al. 2023,open_science,68,55,78,"Pre-registered (AEARCTR-0005601) with data appendix and detailed protocols. However, core administrative datasets are restricted; no public code repository is evident; full replication requires privileged access."
Buntaine et al. 2023,global_relevance,88,82,94,"Addresses major global burden (pollution) with scalable, low-cost citizen-participation lever; provides quantitative effects and cost-benefit sketch. Institutional dependence on China’s CEMS/social media limits direct transfer, but lessons are valuable for LMIC regulators and civic-tech practitioners."
Caviola et al. 2022,overall,86,78,92,"Ambitious, careful program (9 experiments; N≈5,776) mapping population-ethics intuitions. Strong design, clear findings (negativity asymmetry; average vs total tradeoffs), extensive limitations discussion, open materials. Main caveats: online US samples, vignette/hypothetical measures, construct validity of “happiness scales,” some non-preregistered studies."
Caviola et al. 2022,claims_evidence,88,80,93,Core questions explicit; results replicated across multiple manipulations and designs. Pre-registered in several studies; comprehension/attention checks; effect sizes and uncertainty reported; alternative explanations discussed. Some studies (2a–2b) not preregistered; reliance on hypothetical judgments limits external validity.
Caviola et al. 2022,methods,84,75,90,"Appropriate sampling (MTurk/Prolific), a priori power, preregistrations, attention/comprehension checks, and reasonable analyses (t-tests/ANOVAs; some multiple-comparison controls). Robustness via varied framings. Limitations: convenience samples, hypothetical scenarios, partial multiple-testing control, some comprehension failures, and two unpreregistered studies."
Caviola et al. 2022,advancing_knowledge,83,74,90,Among the first systematic psychological investigations of population-ethics intuitions; clarifies average vs total and asymmetry patterns and effects of reflection. Bridges moral psychology and philosophy; informs debates in longtermism. Not directly prescriptive; generalizability and ecological validity constrain impact.
Caviola et al. 2022,logic_communication,87,80,93,"Well-structured program with clear research questions, definitions, and careful reasoning. Figures/tables aid comprehension; limitations candidly treated. Some complexity and length may burden readers; numeric “happiness scale” remains conceptually demanding."
Caviola et al. 2022,open_science,92,86,97,"Data, code, and materials publicly available (OSF); multiple preregistrations; ethics approvals; reporting of measures/manipulations/exclusions. Not all studies preregistered, but overall transparency is excellent."
Caviola et al. 2022,global_relevance,78,68,86,"Findings inform communication and policy framing for longtermism, extinction risk, and population policy by illuminating public intuitions. Indirect practical utility; no intervention estimates; cultural scope uncertain beyond US online samples."
Chuard et al. 2022,overall,76,66,86,"Rigorous head-to-head of epidemiological accounting vs reduced-form designs on measles. Strong validation of the SIR-based measure for outbreaks; reduced-form estimates robust for long-run outcomes and mortality. Sensitivity analyses are informative. Limitations: identifying assumptions (parallel trends, unmeasured confounding tied to pre-vaccine mortality), uniform vaccination rates, age-risk simplifications, and unclear replication materials."
Chuard et al. 2022,claims_evidence,78,68,88,"Main claims are clear: epidemiological model predicts outbreaks; reduced-form better captures long-run human capital/health impacts, implying severity matters more than infection shares. Evidence aligns: robustness with cohort FEs only for reduced-form; mortality patterns corroborate. Some risk of over-generalizing beyond measles/US context is acknowledged but not deeply probed."
Chuard et al. 2022,methods,74,60,85,"Thoughtful SIR-based accounting (reporting-rate estimation; susceptibles dynamics) with validations and sensitivity checks. Reduced-form is standard and well-implemented (state/cohort/age FEs; clustering). Key assumptions are strong: age-independent infection risk (baseline), national vaccination rollout, possible confounding in mortality proxy; limited formal pre-trend/placebo tests."
Chuard et al. 2022,advancing_knowledge,71,60,82,"Clarifies when epidemiological accounting helps (short-run outbreaks) vs reduced-form (long-run human capital), guiding proxy choice in vaccine impact research. Integrates epi-econ approaches and informs VoV/GP research. Incremental rather than transformative; focused on one disease/country but with clear implications."
Chuard et al. 2022,logic_communication,82,72,90,Goals and contrasts are explicit; models and assumptions are described transparently with equations. Figures are clear and tie to narrative; results consistently compared across specifications. Limitations are discussed; reasoning is largely tight with few leaps.
Chuard et al. 2022,open_science,56,40,70,"Uses public data (Tycho, Vital Statistics, IPUMS) and cites sources clearly. However, no explicit replication package, code, or preregistration is evident from the text. Sensitivity analyses are reported but full reproducibility is uncertain."
Chuard et al. 2022,global_relevance,76,65,85,Directly relevant to vaccination policy and valuing vaccine benefits; emphasizes larger gains in high-mortality settings—key for global priorities. Results mainly US/measles-specific; extrapolation to other pathogens contexts is reasoned but limited.
Clancy 2024,overall,88,80,93,"Rigorous, policy-relevant modeling of science’s social returns under biotech risk. Clear structure, careful caveats, and extensive sensitivity analysis. Some conclusions hinge on strong, contestable assumptions (epistemic-regime discounting, diffusion lags, mapping XPT outputs to annual mortality). Still, the work is thoughtful, transparent, and decision-informative."
Clancy 2024,claims_evidence,85,78,90,Main claims (ROI 60x–330x; break-even d≈0.13–0.15% without extinction; extinction hinges on long-run value) are stated clearly and supported by transparent models plus XPT calibration. Evidence characterization is careful with uncertainties noted. Reliance on forecasts and parameter choices limits external validation.
Clancy 2024,methods,82,73,88,"Stylized utility/growth framework with two health models, explicit lags, and derivation of annualized peril rates from XPT. Good sensitivity and bounding cases. Key mappings involve strong assumptions; no formal probabilistic model or empirical validation; some feedbacks and alternative priors could be explored."
Clancy 2024,advancing_knowledge,90,84,96,"Integrates metascience economics with biosecurity risk into a quantitative, decision-focused framework; provides actionable thresholds and scenarios. Clarifies when accelerating science is net positive/negative and how extinction valuations pivot conclusions. Likely to shape funder and policy discussions."
Clancy 2024,logic_communication,91,86,95,"Exceptionally clear exposition, transparent assumptions, stepwise derivations, and decompositions (peril/income/health). Strong executive summary and appendices. Minor complexity remains in the XPT-to-d mapping, but reasoning is traceable."
Clancy 2024,open_science,68,60,78,"Detailed equations, parameter justifications, and technical appendices. However, full replication materials (code/data) are not clearly provided; no preregistration. Reproduction would require re-implementation."
Clancy 2024,global_relevance,95,90,98,"Directly targets global priorities: social ROI of science, biosecurity risks, and AI-era policy. Offers quantitative guidance for funders and policymakers with explicit break-evens and scenario analyses. Broad practical salience."
Crawfurd et al. 2023,overall,84,75,92,"Rigorous, policy-relevant meta-analysis with careful bias adjustments and transparent limitations. Extends literature to learning scores, triangulates with quasi-experiments and Oster bounds, and offers clear simulations. Some reliance on re-expression, imputation, and observational studies with high heterogeneity temper confidence."
Crawfurd et al. 2023,claims_evidence,82,72,90,"Core claims are clearly stated and appropriately caveated. Evidence from 47 studies, multiple bias adjustments, and supportive quasi-experimental findings are synthesized well. Characterization of non-experimental nature and confounding risks is forthright."
Crawfurd et al. 2023,methods,78,68,87,"Solid search strategy; robust variance estimation; validated re-expression algorithm; PET-PEESE, trim-and-fill, p-uniform*, Copas; meta-regression with study-level moderators. Limits: very high I2, observational base, some imputation/transformations, sparse IV with BLL, and no preregistration noted."
Crawfurd et al. 2023,advancing_knowledge,85,75,93,"Adds learning outcomes beyond IQ, quantifies contribution to cross-country learning gaps, and maps intervention classes to plausible gains—useful for prioritization. Consolidates disparate literatures for LMIC policy."
Crawfurd et al. 2023,logic_communication,86,77,94,"Clear goals, transparent assumptions, and coherent argumentation. Specification curves, forest plots, funnel plots, and sensitivity figures aid interpretation. Limitations and uncertainties are explicit."
Crawfurd et al. 2023,open_science,58,40,75,"Detailed methods and appendices facilitate understanding, but no evident preregistration and unclear public availability of extraction sheets/code/data limit full reproducibility."
Crawfurd et al. 2023,global_relevance,92,85,97,"Directly targets a widespread LMIC hazard with quantified education impacts and policy levers. Highly actionable for global health, education, and regulation agendas."
Denkenberger et al. 2022,overall,68,52,82,"Ambitious cross-risk CE analysis with transparent assumptions and sensitivity work. However, heavy reliance on small, potentially biased expert elicitation and strong structural assumptions (independence of risks, mixed horizons, logarithmic returns) limit robustness. Useful but not definitive."
Denkenberger et al. 2022,claims_evidence,62,45,78,"Main claim—resilient foods likely more cost-effective than AGI safety at the current margin—is supported within-model via Monte Carlo and sensitivity checks. Evidence rests on subjective priors, small-N survey (incl. affiliated respondents), and strong modeling choices; theory uncertainty is acknowledged but not fully propagated."
Denkenberger et al. 2022,methods,58,45,72,"Framework (Monte Carlo/Latin hypercube, lognormal/beta priors) is reasonable and documented. Key weaknesses: small, potentially biased elicitation; independence between submodels; inconsistent time horizons; ad hoc marginal comparisons ($3B vs ~$100M); limited external validation. Sensitivity analysis helps but doesn’t span structural alternatives."
Denkenberger et al. 2022,advancing_knowledge,76,60,88,"Pushes forward comparative cost-effectiveness across cause areas; elevates resilient foods with quantified arguments; identifies leverage points and urgency. Likely to inform portfolios and spur further research, though results depend on contestable inputs."
Denkenberger et al. 2022,logic_communication,70,55,83,"Goals, assumptions, and limitations are stated clearly; diagrams/tables help. Logical flow is generally sound, with explicit caveats. Some overinterpretation of within-model confidence and dense presentation of priors reduce clarity."
Denkenberger et al. 2022,open_science,60,45,75,Guesstimate links and survey instrument provided; input tables detailed. Analytica model and raw survey data not fully open; no versioned code/data repository. Replication possible in part but not turnkey.
Denkenberger et al. 2022,global_relevance,88,75,95,"Directly targets high-priority global risks and actionable preparedness (10% and 100% shortfalls), with implications for funding strategy and timing. Highly pertinent to policymakers and philanthropists focused on existential and humanitarian outcomes."
Epperson and Gerster 2024,overall,82,75,90,"Strong preregistered lab–field design; causal identification via MPL-induced randomization and IPW; consistent short-run effects and heterogeneity; transparent analyses and robustness checks. Limitations: student sample, COVID-reduced N vs preregistration, outcomes confined to canteens, short-lived effects, and unclear code/data availability. Still among the stronger recent papers in this area."
Epperson and Gerster 2024,claims_evidence,85,75,90,"Claims (existence of avoiders, greater responsiveness of avoiders, and decay within ~2 weeks) are well supported by lab outcomes and linked field purchases, with placebos and robustness. Exploratory mediation handled cautiously. Some heterogeneity estimates in field are imprecise; outcome limited to canteens."
Epperson and Gerster 2024,methods,88,78,92,"Innovative preference-respecting randomization (MPL WTP) with correct IPW identification of ATE/CATE. Balance checks, theoretical/empirical propensities, WLS robustness, placebos, and preanalysis mapping. Constraints: smaller N, student context, potential demand/VR narrative bundling, limited long-term measurement."
Epperson and Gerster 2024,advancing_knowledge,78,65,85,"Adds rare field-based causal evidence on willful ignorance and actionable guidance (target avoiders; small incentives). Documents decay and modest cost-effectiveness. Valuable extension beyond lab studies, though limited to one domain and population; generalizability to other moral/health/risk domains remains to be shown."
Epperson and Gerster 2024,logic_communication,86,80,92,"Clear goals, definitions, and reasoning; mapping to preregistration; figures/tables support narrative; assumptions and limitations explicit; exploratory parts labeled. Minor complexity in moving-window presentation, but overall very well communicated."
Epperson and Gerster 2024,open_science,70,55,85,"Pre-registered (AEARCTR-0005015), IRB approval, detailed appendices, scene transcripts, and regulatory context. However, no explicit public code/data repository is cited; administrative data likely restricted. Reproducibility would improve with shared code and synthetic/anon data."
Epperson and Gerster 2024,global_relevance,72,60,85,"Directly relevant to animal welfare and design of information campaigns (also climate/health). Practical insight: near-zero info cost is insufficient; target avoiders with small incentives. External validity limited (German students, canteen purchases); effects fade quickly, tempering practical impact."
Frech et al. 2023,overall,70,60,80,"Well-framed application of public-goods theory to pharma pricing with transparent country-level calculations and simple regressions. Useful quantification (US ≈66–73% of global quasi-rents). Methods are serviceable but rely on strong assumptions (uniform MC, proxies from Turkey/CEA, quasi-rents→R&D) and limited identification. Communication is clear; open-science is weak."
Frech et al. 2023,claims_evidence,66,55,78,"Main claims—ROW contributes materially; GDP strongly predicts contributions; free-riding is partial—are supported by RAND price indices, two MC scenarios, and OLS results (Tables 4–5). Evidence is consistent but rests on debatable measurement choices and assumptions linking quasi-rents to R&D incentives; limited exploration of alternative mechanisms or drug-level heterogeneity."
Frech et al. 2023,methods,58,45,70,"Approach is transparent and reasonable for a first-cut: two MC estimates, simple conversion from prices to quasi-rents, log-OLS on GDP with robustness checks. Key weaknesses: crude MC proxies, uniform MC across countries, potential double-counting/distribution margins, endogeneity/tautology in GDP regressions, small n, no causal design, no micro-level validation."
Frech et al. 2023,advancing_knowledge,72,60,85,"Provides policy-relevant quantification of national contributions and challenges the ‘near-MC abroad’ narrative. Integrates alliance/public-goods theory with contemporary data, offering actionable order-of-magnitude estimates for burden-sharing debates. Incremental rather than transformative; lacks causal mapping from prices to innovation outputs."
Frech et al. 2023,logic_communication,75,65,85,"Clear statement of questions, theoretical setup (Samuelson/Lindahl; Nash), and derivations. Empirical steps and sensitivity choices are explained; tables/figures aid comprehension. Some long expository sections and occasional conflation of quasi-rents with actual R&D financing persist, but overall argumentation is coherent and consistent."
Frech et al. 2023,open_science,35,20,50,"Relies on public sources (RAND, PWT), but no shared code/data package, preregistration, or computational appendix to fully reproduce transformations and regressions. Replication is possible with effort but not facilitated. Limited reporting of exact drug baskets and robustness to alternative price adjustments."
Frech et al. 2023,global_relevance,85,75,95,"Highly relevant to global priorities: financing biomedical innovation, international cost sharing, and policy design (e.g., negotiation, value-based pricing, trade-like agreements). Provides quantitative inputs for cross-country burden-sharing and R&D incentive discussions with direct implications for health outcomes and welfare."
Giglio et al. 2023,overall,88,82,93,"Strong, timely contribution in climate/ESG finance: novel biodiversity news index, multiple firm/industry exposure measures, and pricing tests. Validation against events, cross-measure agreement, and comparisons to a large factor zoo are persuasive. Limits: US-centric data (NYT, 10-K), short time series, modest hedge correlations, some heuristic thresholds. Public release of exposure measures boosts impact."
Giglio et al. 2023,claims_evidence,86,80,91,"Main claims (distinct biodiversity risk; measurable exposures; partial pricing) are clearly stated and appropriately qualified. Evidence triangulates news indices, 10-K text, survey, and fund holdings; event validation and cross-sectional correlations support claims. Pricing tests rely on correlations (not premia) and are framed as such. Potential survey selection bias and media/source limitations are acknowledged."
Giglio et al. 2023,methods,83,76,89,"Reasonable, transparent approach: dictionary+filters with BERT sentiment; AR(1) innovations; portfolio construction; multiple-testing correction vs 207 characteristics; robustness via alternative weights. Assumptions: NYT as proxy for news, 10-K mentions/thresholds, few biodiversity ETFs (limited history), survey design. Mostly defensible, though external validity and measurement error risks remain. No causal estimates claimed."
Giglio et al. 2023,advancing_knowledge,90,84,95,"First comprehensive, finance-oriented quantification of biodiversity risk and its pricing; creates reusable exposure datasets. Distinguishes biodiversity from climate in both time-series and cross-section. Likely to catalyze follow-on research and practical risk management. High marginal value despite unsurprising direction of results."
Giglio et al. 2023,logic_communication,89,84,94,"Clear motivation, definitions (physical vs transition risks), and transparent reasoning. Figures/tables effectively support the narrative. Limitations and scope are explicitly discussed (e.g., no risk premia inference). Minor arbitrariness (e.g., sentence thresholds) is explained."
Giglio et al. 2023,open_science,78,68,86,"Exposure measures publicly released (website). Survey instrument and many implementation details documented. Some inputs are proprietary (CRSP/Compustat/NYT) and code availability is not fully explicit, limiting full reproduction. Nonetheless, provides useful building blocks."
Giglio et al. 2023,global_relevance,82,74,90,"Biodiversity risk is globally salient; outputs inform regulators, investors, and firms. Practical industry exposure rankings and hedge constructs aid risk management. Generalizability is tempered by US-centric sources (NYT, 10-K) and limited non-US testing; little direct cost–benefit quantification."
Hahn et al. 2025,overall,95,90,99,"Ambitious, well-executed welfare synthesis across 96 climate policies using a harmonized MVPF framework, new LBD sufficient-statistics result, extensive robustness, and clear contrasts with cost-per-ton. Some conclusions hinge on SCC/incidence and LBD assumptions, which are carefully probed."
Hahn et al. 2025,claims_evidence,92,85,97,"Main claims (wind/solar > other subsidies; nudges context-dependent; fuel taxes/cap-and-trade low-MVPF raisers) are supported via consistent translations from causal estimates, harmonized externality valuations, and sensitivity analyses. Remaining uncertainties: incidence on US Treasury, AVERT marginal rates, cross-context elasticity transport, and LBD causality."
Hahn et al. 2025,methods,94,88,99,"Careful MVPF construction (pass-through, markups, fiscal externalities, rebound) and formal LBD integration. Multiple SCC scenarios, with/without LBD, US-only benefits, publication-bias correction, non-marginal changes. Limitations: partial-equilibrium approximations, elasticity portability, potential sectoral GE effects."
Hahn et al. 2025,advancing_knowledge,96,90,100,Shifts policy evaluation from cost-per-ton to MVPF; provides actionable rankings and a reusable template. The LBD sufficient-statistics result is methodologically novel and broadly applicable. Rich comparisons (tax vs regulation; domestic vs international) directly inform prioritization.
Hahn et al. 2025,logic_communication,90,84,96,"Goals, assumptions, and steps are explicit; equations and decompositions are tight; figures/tables integrate well. Length and technical density may challenge some readers; a few choices (e.g., AVERT region aggregation) could be flagged earlier, but reasoning remains transparent."
Hahn et al. 2025,open_science,88,80,95,"Extensive appendices, parameter sources, bootstrap CIs, and stated public code availability; heavy use of public datasets/models (EPA, EIA). Minor risks: reproduction depends on multiple external tools and harmonizations; exact replication may require careful environment control."
Hahn et al. 2025,global_relevance,97,92,100,"Directly targets high-impact policy choices (subsidies, taxes, cap-and-trade) with quantified welfare metrics; includes international interventions and incidence considerations for US/global beneficiaries. Highly useful to policymakers, funders, and practitioners for near-term decisions."
Haushofer et al. 2020,overall,86,80,92,"Preregistered, large multi-arm RCT (n≈5,756) with rigorous design and analysis. Clear results: sizable cash effects; null PM+ at 1 year; careful spillover and demand-effect checks; low attrition; policy-relevant cost and frequency comparisons. Limitations: reliance on self-reports, 1-year horizon, context-specificity, and uncertain data/code availability."
Haushofer et al. 2020,claims_evidence,89,83,94,"Main claims are tightly linked to evidence. ANCOVA with baseline controls, clustering, and FDR across primary outcomes; precise estimates. Bayesian NPV frames nulls; experimenter-demand test implemented; heterogeneity and timing analyses; cautious interpretation of IPV and spillovers. Characterization of evidence is balanced and transparent."
Haushofer et al. 2020,methods,88,82,93,"Strong randomized design at village/household levels with four arms, spillovers, and weekly vs lump-sum. Preanalysis plan, power, low attrition, fidelity checks, appropriate clustering/ANCOVA, multiple-testing control. Sensible handling of DFS/M-Pesa overlap. Limits: self-reports, generalizability of CHW scaling, some cost-effectiveness assumptions, single endline horizon."
Haushofer et al. 2020,advancing_knowledge,84,77,90,Rare head-to-head test of cash vs WHO PM+ in LMIC; challenges generalizability of brief psychotherapy; strengthens evidence on cash’s economic and psychological effects; informs delivery frequency. Decision-relevant for mental health vs cash prioritization. Less novel methodologically; external validity beyond setting and 1-year horizon remains open.
Haushofer et al. 2020,logic_communication,87,80,93,"Clear motivation, questions, and pre-specified outcomes. Indices defined; tables/figures interpretable; assumptions and limitations discussed. Reasoning is transparent; robustness and alternative explanations considered. Minor density in appendices but overall narrative is coherent and consistent with results."
Haushofer et al. 2020,open_science,68,58,78,"Pre-registered RCT (registry cited) with extensive online appendix, balance/attrition checks, and method details. However, public availability of data and analysis code is unclear; some operational data (M-Pesa) proprietary. Replication feasible but not turnkey without shared code/data."
Haushofer et al. 2020,global_relevance,92,86,97,Highly relevant to global poverty and mental health policy. Directly compares scalable interventions with costs and magnitudes; actionable for donors/governments in similar contexts. Offers guidance on targeting/intensity and cautions on psychotherapy without specific problem focus.
Hill et al. 2024,overall,90,85,96,"Compelling large-scale evidence of a pervasive, increasing pivot penalty across science and patents, supported by extensive robustness checks, within-person analyses, and quasi-experiments. Clear implications for science policy and organizational strategy. Main limitations: reliance on citations/journal placement as impact proxies, potential measurement error in pivot metric, and proprietary data impeding full replication."
Hill et al. 2024,claims_evidence,92,85,96,"Main claims (universal and rising pivot penalty; limited outsider advantage; COVID case; push/pull shocks) are supported by convergent evidence: binned plots, within-author FE, field-by-field regressions, patents and market value, preprint publication rates, DiD around retractions, and 2SLS. Causal language is cautious but not airtight; mechanisms are suggestive rather than proven."
Hill et al. 2024,methods,89,82,95,"Well-justified cosine pivot metric; multiple alternative encodings (journals vs fields; CPC hierarchy); extensive robustness on impact windows/measures; individual FE; DiD with matched controls; event studies; clustering; manual disambiguation checks. Concerns: measurement error in field/journal coding, remaining selection in natural experiments, reliance on binned scatters, limited multiple-testing adjustments, and proprietary datasets."
Hill et al. 2024,advancing_knowledge,92,85,97,"Establishes a strong new stylized fact quantifying adaptability costs and their growth, bridging science and technology with policy-relevant insights. Synthesizes mechanisms (reputation vs expertise) with novel empirical tests. COVID application adds salience. Likely to shape future research on specialization, funding design, and portfolio strategy."
Hill et al. 2024,logic_communication,90,84,95,"Clear framing, definitions, and transparent reporting of assumptions; figures are informative; SI is thorough. Conclusions generally match evidence, with careful caveats. Some interpretive extensions (outsider advantage) could be more circumspect, but overall reasoning is coherent and easy to follow."
Hill et al. 2024,open_science,55,40,70,"Methods are described in detail and several data sources are public (Retraction Watch via Crossref, PatentsView, SciSciNet, Kogan). However, core bibliometrics (Dimensions) are proprietary; no explicit code/data release is indicated, and some checks are ‘available on request’. Full computational reproducibility appears limited."
Hill et al. 2024,global_relevance,85,75,93,"Highly relevant for funders, institutions, and policymakers managing responsiveness to crises (e.g., pandemics) and emerging domains (AI, climate). Provides actionable directional insights (pre-positioning, team strategies, portfolio diversification), though not cost-effectiveness estimates. Strong applicability across fields and stages."
Jack et al. 2022,overall,91,84,96,"High-quality RCT on a major environmental-health issue; clear, policy-relevant findings. Strong design (multiple arms), pre-analysis, and robust remote-sensing outcomes. Cost-effectiveness estimates are compelling. Main limitations: remote-sensing misclassification risk and training-label asymmetry, farmer-initiated monitoring for compliance, selected high-burning sample, and scalability/external-validity uncertainties."
Jack et al. 2022,claims_evidence,88,80,93,"Core claims (upfront PES improves compliance and reduces burning; standard PES largely inframarginal) are well-supported by multiple outcomes: monitored compliance, satellite-based measures, and CRM adoption. Sensitivity to classification thresholds is transparently shown. Cost-benefit framing is plausible but relies on VSL and attribution assumptions; authors note caveats."
Jack et al. 2022,methods,86,78,92,"Village-level stratified RCT, clustering, Lee bounds for attrition, pre-specification, and careful RS ML construction with threshold robustness. Concerns: negative (no-burn) labels from treatment group only, ~78–82% RS accuracy, farmer-initiated monitoring possibly inducing selection, screened high-burn sample, and some external-validity challenges."
Jack et al. 2022,advancing_knowledge,92,85,97,"Introduces and tests an important PES design feature (partial upfront unconditional payment) in a new application (residue burning), showing sizable effects and strong cost-effectiveness. Provides practical guidance for PES under trust/liquidity constraints and contributes a scalable RS measurement approach."
Jack et al. 2022,logic_communication,90,84,95,"Clear articulation of motivation, design, and results; transparent discussion of monitoring, RS thresholds, and limitations. Tables/figures aid interpretation. Minor complexity around RS training/threshold choices, but overall reasoning is coherent and cautious."
Jack et al. 2022,open_science,70,60,80,"Pre-registered (AEA RCT registry) with detailed methods and appendices. However, no clear public replication package; underlying commercial imagery may limit data sharing. RS model details referenced but full code/data availability is uncertain."
Jack et al. 2022,global_relevance,96,91,99,"Addresses a large, neglected source of pollution with major health impacts; identifies a feasible, highly cost-effective intervention with clear policy design implications for India and similar contexts. Results inform broader PES and CCT design under weak enforcement and liquidity constraints."
Jaroszewicz et al. 2024,overall,91,85,96,"Large preregistered US RCT with admin bank data; careful design and analysis; strong robustness and attrition bounds; informative null/negative findings versus optimistic priors; thoughtful mechanism tests and theory. Limits: differential response, bank data subsample, pandemic context, short horizon, sensitive data access."
Jaroszewicz et al. 2024,claims_evidence,92,87,97,"Core claim—no positive survey effects despite higher spending—is strongly supported by ITT estimates, multiple-testing corrections, bank data, timing checks, and extensive attrition analyses (Lee/HM bounds, imputation). Mechanism evidence is suggestive (mediation) and appropriately caveated. Claims are accurately scoped to measured outcomes."
Jaroszewicz et al. 2024,methods,93,88,97,"Power-optimized RCT, preregistered PAP, Anderson indices, BH/WY corrections, quasi-experimental timing, bank-data deduplication, numerous robustness checks, bounds and imputation. Assumptions and limitations discussed. Main weaknesses: reliance on self-reports for many outcomes, 43% bank-linking, one-off transfer amounts, HIC pandemic setting."
Jaroszewicz et al. 2024,advancing_knowledge,88,80,94,"Recalibrates priors on UCTs in high‑income settings; integrates prediction study; clarifies objective vs subjective outcome divergence; proposes salience mechanism with model; informs ‘cash-plus’ and transfer size debates. External validity constrained (one-time, pandemic, short-term), but contribution is substantial."
Jaroszewicz et al. 2024,logic_communication,92,86,96,"Clear questions, thorough exposition, transparent assumptions, logical flow from results to mechanisms to model. Figures/tables support arguments; limitations candidly discussed. Dense but navigable appendices; minor complexity may challenge non-experts."
Jaroszewicz et al. 2024,open_science,83,75,90,"Preregistration and PAP public; instruments and extensive appendices provided; methods reproducible. Administrative/bank data likely restricted; code availability not fully clear. Strong transparency, slightly limited by data privacy constraints."
Jaroszewicz et al. 2024,global_relevance,82,72,90,"Highly relevant to cash transfer policy in HICs; tempers optimism, suggests larger or ‘cash‑plus’ designs, and attention to subjective well‑being. Lacks long-run and cost‑effectiveness estimates; pandemic timing limits generalizability across contexts."
Kremer et al. 2022,overall,90,82,96,"High-quality, policy-relevant meta-analysis combining 18 RCTs with careful Bayesian and frequentist synthesis, extensive sensitivity checks, and clear cost-effectiveness modeling. Transparent about limitations (age/follow-up heterogeneity, limited mortality data, ICC assumptions). Strong open-science practices and clear communication. Minor concerns remain on generalizability and residual publication/selection biases."
Kremer et al. 2022,claims_evidence,90,83,96,"Main claims are specific and supported by pooled estimates (OR≈0.72–0.75) with robustness across 64 sensitivity models and publication-bias checks. Evidence characterization is careful, acknowledging limited power for moderators and alternative priors. Clear distinction between historical mean and posterior predictive effects."
Kremer et al. 2022,methods,88,78,95,"Appropriate random-effects meta-analysis; Bayesian hierarchical model with sensible priors; treatment of rare events; cluster adjustments; LOOCV; multiple sensitivity analyses including continuity corrections and contamination. Some choices (treating short follow-ups as U5 odds, ICC imputation, age-heterogeneity not modeled, limited moderator power) temper top-tier rigor."
Kremer et al. 2022,advancing_knowledge,94,88,98,"Assembles new mortality data, shifts focus from diarrhea to all-cause child mortality, and links to credible cost-effectiveness estimates for scalable delivery models. Clarifies that water treatment likely averts substantial U5 deaths at very low cost, informing donors and governments. Provides directions for future heterogeneity and survival modeling."
Kremer et al. 2022,logic_communication,90,84,96,"Clear goals, transparent reasoning, explicit assumptions, and coherent presentation (PRISMA, forest plots, funnel plots). Results, limitations, and policy implications are well aligned. Minor density and cross-referencing could challenge some readers, but overall highly readable and logically consistent."
Kremer et al. 2022,open_science,92,85,98,"Pre-registered (AEARCTR-0005977), PRISMA assessed, code and data made public (GitHub), methods sufficiently detailed for replication. Some mortality data unavailable from legacy studies, but authors proactively contacted researchers. Provides tools/inputs enabling reanalysis and policy adaptation."
Kremer et al. 2022,global_relevance,96,90,99,"Directly targets a major global burden with scalable, low-cost interventions. Produces quantified DALY and net-benefit estimates ($27–$66/DALY), relevant to LMIC decision-makers and funders. Discusses delivery modalities (dispensers, inline chlorination, MCH), thresholds, and context-specific tradeoffs, enabling immediate policy use."
Kubo et al. 2023,overall,78,68,88,"Rigorous causal design (SDID with seasonal controls), multiple robustness and placebo checks, and timely policy question. Clear evidence of positive spillovers; transparent discussion of limitations. Main weaknesses: substitutability assignment uncertainty, reliance on a single online platform, short post-period, and data/code not yet public. Strong but not definitive."
Kubo et al. 2023,claims_evidence,76,64,86,"Main claim—trade bans increased volumes of non-banned substitutes—is supported across taxa with SDID estimates and CIs; sensitivity, single-species, monthly, and placebo analyses bolster credibility. However, external validity beyond the platform and substitutability misclassification temper strength; ecological impacts are inferred, not measured."
Kubo et al. 2023,methods,82,72,90,"Appropriate use of SDID with two-step procedure, seasonal and fixed effects, removal of announcement quarter, extensive robustness/placebo checks. Assumptions (parallel trends, control construction, treated selection) are argued and partially validated. Short post-treatment window and platform coverage remain limitations."
Kubo et al. 2023,advancing_knowledge,74,62,84,Provides rare causal evidence of spillovers from wildlife trade bans using online market data; highlights policy-relevant unintended consequences and monitoring needs. Scope limited to Japan and a few taxa; does not quantify downstream ecological outcomes or enforcement responses.
Kubo et al. 2023,logic_communication,78,68,87,"Goals, setup, and findings are clear; figures align with narrative; assumptions and bias direction are discussed. Minor language/structure issues and limited main-text detail on NLP/species selection (mitigated by SI) slightly reduce clarity."
